run,round,node_id,scheme,keygen_time,sign_time,verify_time,train_time,train_loss,payload_size,sig_size,pubkey_size,verified
1,1,13613789638396288161,SLH_DSA_PURE_SHA2_128S,0.17462547402828932,0.6137702509295195,0.0007131079910323024,21.613166745984927,2.202507863791225,2482165.0,7856.0,32.0,True
1,1,3613149279726583134,SLH_DSA_PURE_SHA2_128S,0.0808499080594629,0.6166531880153343,0.0006518730660900474,21.838976385071874,2.1169729034740703,2482164.0,7856.0,32.0,True
1,1,3858982930621792261,SLH_DSA_PURE_SHA2_128S,0.1331960209645331,0.61353668209631,0.0006171370623633265,21.544762079021893,2.194706592696924,2482164.0,7856.0,32.0,True
1,1,7545844413595283601,SLH_DSA_PURE_SHA2_128S,0.08190852799452841,0.6168036960298195,0.0006753109628334641,21.582093916018493,2.4426390660075716,2482164.0,7856.0,32.0,True
1,1,3947881347578201212,SLH_DSA_PURE_SHA2_128S,0.07756473799236119,0.590635976055637,0.0006783970165997744,10.551232083933428,2.238941829044598,2482164.0,7856.0,32.0,True
1,2,3858982930621792261,SLH_DSA_PURE_SHA2_128S,0.09256829193327576,0.6321681459667161,0.0006382130086421967,21.279982337960973,2.309930993345218,2482164.0,7856.0,32.0,True
1,2,7545844413595283601,SLH_DSA_PURE_SHA2_128S,0.166614048066549,0.7271512279985473,0.0006445420440286398,21.324655101983808,2.3104111607463214,2482164.0,7856.0,32.0,True
1,2,13613789638396288161,SLH_DSA_PURE_SHA2_128S,0.07971785892732441,0.6161560469772667,0.0006647779373452067,21.555678598000668,2.310505967551527,2482165.0,7856.0,32.0,True
1,2,3613149279726583134,SLH_DSA_PURE_SHA2_128S,0.1617086319020018,0.635205453960225,0.000628531095571816,21.477417321992107,2.30914828952509,2482164.0,7856.0,32.0,True
1,2,3947881347578201212,SLH_DSA_PURE_SHA2_128S,0.07723718497436494,0.5914706870680675,0.0008357120677828789,10.544576201937161,2.3108539977393594,2482164.0,7856.0,32.0,True
1,3,3613149279726583134,SLH_DSA_PURE_SHA2_128S,0.15552350506186485,0.6142244039801881,0.0006635439349338412,21.21105052693747,2.3100924613757634,2482164.0,7856.0,32.0,True
1,3,7545844413595283601,SLH_DSA_PURE_SHA2_128S,0.08697770698927343,0.615380955976434,0.0006901270244270563,21.200661636074074,2.3094355336393413,2482164.0,7856.0,32.0,True
1,3,13613789638396288161,SLH_DSA_PURE_SHA2_128S,0.08174588903784752,0.6110848570242524,0.0006430569337680936,21.31733694090508,2.30964135895141,2482165.0,7856.0,32.0,True
1,3,3858982930621792261,SLH_DSA_PURE_SHA2_128S,0.08045368001330644,0.6155079259769991,0.0006396969547495246,21.35002579493448,2.309477746677094,2482164.0,7856.0,32.0,True
