run,round,node_id,scheme,keygen_time,sign_time,verify_time,train_time,train_loss,payload_size,sig_size,pubkey_size,sig_valid,has_nan
1,1,2350208939190539465,SPHINCS+-SHA2-128s-simple,0.04021574789658189,0.27954438515007496,0.0003109760582447052,22.229574682889506,1.9192070861974844,2482153.0,7856.0,32.0,True,False
1,1,5892566520522087258,SPHINCS+-SHA2-128s-simple,0.03896750486455858,0.29633021308109164,0.0003056279383599758,22.002846006071195,1.9079048412676436,2482153.0,7856.0,32.0,True,False
1,1,10912449966880859628,SPHINCS+-SHA2-128s-simple,0.04107070597819984,0.16669619688764215,0.0002727529499679804,22.343722512945533,1.8682018666983413,2482153.0,7856.0,32.0,True,False
1,1,15300245958395461246,SPHINCS+-SHA2-128s-simple,0.03869947511702776,0.1802882570773363,0.0002730779815465212,22.19725424889475,1.869180313695353,2482153.0,7856.0,32.0,True,False
1,1,14438811783157080747,SPHINCS+-SHA2-128s-simple,0.02001838106662035,0.15133252600207925,0.00028317002579569817,10.737661323975772,1.9155706643296506,2482153.0,7856.0,32.0,True,False
1,2,5892566520522087258,SPHINCS+-SHA2-128s-simple,0.025438335025683045,0.17252043401822448,0.00030849804170429707,22.014023022027686,1.6775428700370911,2482153.0,7856.0,32.0,True,False
1,2,10912449966880859628,SPHINCS+-SHA2-128s-simple,0.038383292965590954,0.2787152819801122,0.00026877899654209614,21.868676374899223,1.6351895857923708,2482153.0,7856.0,32.0,True,False
1,2,2350208939190539465,SPHINCS+-SHA2-128s-simple,0.02234441298060119,0.16500021191313863,0.0003263868857175112,22.268816458061337,1.6517809819870484,2482153.0,7856.0,32.0,True,False
1,2,15300245958395461246,SPHINCS+-SHA2-128s-simple,0.02087295614182949,0.1563489600084722,0.0003175712190568447,22.407170628895983,1.668449834131966,2482153.0,7856.0,32.0,True,False
1,2,14438811783157080747,SPHINCS+-SHA2-128s-simple,0.019927864894270897,0.1553536099381745,0.0002681270707398653,11.020797871984541,1.6640770686701083,2482153.0,7856.0,32.0,True,False
1,3,5892566520522087258,SPHINCS+-SHA2-128s-simple,0.026729193050414324,0.26415798999369144,0.0002939589321613312,22.518854341935366,1.4414754700356018,2482153.0,7856.0,32.0,True,False
1,3,10912449966880859628,SPHINCS+-SHA2-128s-simple,0.02271762490272522,0.1726354688871652,0.00026875012554228306,22.6624792648945,1.453576214016436,2482153.0,7856.0,32.0,True,False
1,3,2350208939190539465,SPHINCS+-SHA2-128s-simple,0.02211833093315363,0.17509906087070704,0.0002794968895614147,22.747325730044395,1.4612701874190626,2482153.0,7856.0,32.0,True,False
1,3,15300245958395461246,SPHINCS+-SHA2-128s-simple,0.02049221401102841,0.15494773699901998,0.00026451190933585167,22.966713870177045,1.451085043791384,2482153.0,7856.0,32.0,True,False
1,3,14438811783157080747,SPHINCS+-SHA2-128s-simple,0.020277773030102253,0.15144748403690755,0.0002717969473451376,10.65759824286215,1.4435334287512416,2482153.0,7856.0,32.0,True,False
1,4,15300245958395461246,SPHINCS+-SHA2-128s-simple,0.0388968619517982,0.2659615478478372,0.0003468310460448265,22.299311972921714,1.2983234936056045,2482153.0,7856.0,32.0,True,False
1,4,10912449966880859628,SPHINCS+-SHA2-128s-simple,0.03797818091697991,0.30516013293527067,0.0002681019250303507,22.638969033956528,1.2860776850590692,2482153.0,7856.0,32.0,True,False
1,4,2350208939190539465,SPHINCS+-SHA2-128s-simple,0.042247976176440716,0.23266396299004555,0.00027497694827616215,22.803952459944412,1.3060007550465031,2482153.0,7856.0,32.0,True,False
1,4,5892566520522087258,SPHINCS+-SHA2-128s-simple,0.02179309190250933,0.1573260340373963,0.0002773539163172245,22.96535770711489,1.3045948399141574,2482153.0,7856.0,32.0,True,False
1,4,14438811783157080747,SPHINCS+-SHA2-128s-simple,0.019975324161350727,0.16112178610637784,0.0002723278012126684,11.14584466186352,1.285141707609256,2482153.0,7856.0,32.0,True,False
1,5,5892566520522087258,SPHINCS+-SHA2-128s-simple,0.024194467114284635,0.1742289629764855,0.00032072304747998714,22.150128269102424,1.1841110914659958,2482153.0,7856.0,32.0,True,False
1,5,10912449966880859628,SPHINCS+-SHA2-128s-simple,0.022623638855293393,0.16922774608246982,0.0002776859328150749,22.324927132809535,1.1697127912372065,2482153.0,7856.0,32.0,True,False
1,5,2350208939190539465,SPHINCS+-SHA2-128s-simple,0.03785664890892804,0.20500212698243558,0.0002737038303166628,22.322622135048732,1.191594355593855,2482153.0,7856.0,32.0,True,False
1,5,15300245958395461246,SPHINCS+-SHA2-128s-simple,0.03880635998211801,0.15916534909047186,0.0002807818818837404,22.429239669814706,1.1768080654997415,2482153.0,7856.0,32.0,True,False
