scheme,scheme_id,round,mean_accuracy,std_accuracy,mean_loss,std_loss
no_signature,no_signature,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
no_signature,no_signature,1,0.17355,0.03637722883587723,2.1939480891418457,0.06299961529260673
no_signature,no_signature,2,0.46209,0.017134270402390118,1.5249115846824646,0.03689472072342187
no_signature,no_signature,3,0.55176,0.012470605438389931,1.287964489841461,0.03055116191644708
no_signature,no_signature,4,0.6006,0.015746886817540953,1.1502541252994538,0.039953303586681574
no_signature,no_signature,5,0.63548,0.010363268467685897,1.0509457541942597,0.025706507523502856
no_signature,no_signature,6,0.6597500000000001,0.010854005916915875,0.9818620164871217,0.024916899215713495
no_signature,no_signature,7,0.6781699999999999,0.010216440998051458,0.935980164642334,0.022070320091161905
no_signature,no_signature,8,0.6914399999999999,0.010366098591080473,0.8987377410411834,0.02284177026859307
no_signature,no_signature,9,0.70162,0.006470926432041169,0.8703663238239289,0.018804396034652157
no_signature,no_signature,10,0.70959,0.006040870062425696,0.8482238690185546,0.01775204882607037
no_signature,no_signature,11,0.71321,0.005631153424378421,0.8391513638973237,0.013946444783833263
no_signature,no_signature,12,0.71677,0.003290069232638647,0.8328859805393218,0.01072476505168923
no_signature,no_signature,13,0.71829,0.004804731464342666,0.8333323637008666,0.012103831552237505
no_signature,no_signature,14,0.72016,0.006125756189148305,0.8364249888515471,0.014323274201187905
no_signature,no_signature,15,0.72094,0.003904470372392211,0.844249684267044,0.012509690597515112
no_signature,no_signature,16,0.72302,0.0050895972335736235,0.8495526401042938,0.013211703372407086
no_signature,no_signature,17,0.7215,0.004704607670500603,0.8626406969356537,0.011308415474595072
no_signature,no_signature,18,0.7210300000000001,0.005051523422581424,0.8815424021339417,0.014812669958978
no_signature,no_signature,19,0.72278,0.00427805771089846,0.9022560692596435,0.014173837533853434
no_signature,no_signature,20,0.7228399999999999,0.0039373425894461385,0.9255154216957091,0.01736955976345057
no_signature,no_signature,21,0.72306,0.005410730080127841,0.9486907438373565,0.022462774744628433
no_signature,no_signature,22,0.7225900000000001,0.006382693614593928,0.9822968823814392,0.02287186373711393
no_signature,no_signature,23,0.72267,0.0061326177118747795,1.0101202458667755,0.02446060845229142
no_signature,no_signature,24,0.72304,0.006665866618660902,1.0477920870113373,0.028788756600731845
no_signature,no_signature,25,0.72176,0.006517531911868309,1.0781698467731475,0.02217605640247505
no_signature,no_signature,26,0.72285,0.005542813164610312,1.1118722961997984,0.026561565631067697
no_signature,no_signature,27,0.72218,0.006263438885042826,1.1560343705272675,0.024177815650089255
no_signature,no_signature,28,0.72209,0.007394810492651038,1.1732047403907777,0.026284696936597837
no_signature,no_signature,29,0.72287,0.00655778587295709,1.2192908322811127,0.03270408259625089
no_signature,no_signature,30,0.7224999999999999,0.0070449351388860194,1.2631192984294892,0.03709370682545592
RSA-2048,RSA-2048,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
RSA-2048,RSA-2048,1,0.17355,0.03637722883587723,2.193948076324463,0.06299962739397223
RSA-2048,RSA-2048,2,0.45603,0.02259818330948062,1.526973926753998,0.05135293758639697
RSA-2048,RSA-2048,3,0.55156,0.014750080979062068,1.2897069162368775,0.027150630499479297
RSA-2048,RSA-2048,4,0.60382,0.014066887833964311,1.144386391468048,0.03212021498104737
RSA-2048,RSA-2048,5,0.63626,0.011290822231647573,1.0528181904888152,0.023068333138937226
RSA-2048,RSA-2048,6,0.66204,0.009855985209224084,0.9818226582241059,0.018936174462697977
RSA-2048,RSA-2048,7,0.6801,0.009283557747137912,0.9317773089790344,0.024048915232694833
RSA-2048,RSA-2048,8,0.69172,0.006444429118755725,0.8977812537670136,0.018030531451035545
RSA-2048,RSA-2048,9,0.69917,0.007378805985915162,0.8768804821968079,0.020334874401444915
RSA-2048,RSA-2048,10,0.70897,0.0072435488539803975,0.8517015582180024,0.015149227727877747
RSA-2048,RSA-2048,11,0.71245,0.007906994091028222,0.8457611559867859,0.0183560910150248
RSA-2048,RSA-2048,12,0.7157500000000001,0.005828903079577741,0.8383985682487488,0.01715535889607677
RSA-2048,RSA-2048,13,0.71811,0.006656066572850835,0.8352090846538542,0.015109207175399262
RSA-2048,RSA-2048,14,0.72154,0.005332124863087474,0.834541874847412,0.014148516492719834
RSA-2048,RSA-2048,15,0.72111,0.005288866713305527,0.8455407747936249,0.013973072047138185
RSA-2048,RSA-2048,16,0.72213,0.0037921116954951345,0.8516384646987916,0.008451151533303572
RSA-2048,RSA-2048,17,0.72242,0.004877112078086987,0.869678376197815,0.014415445453326731
RSA-2048,RSA-2048,18,0.72236,0.004675040106779811,0.8860574456882476,0.013251653511280919
RSA-2048,RSA-2048,19,0.72177,0.005006895245558831,0.9036830306053162,0.009835946628562247
RSA-2048,RSA-2048,20,0.72272,0.003977659836861121,0.9264187091541289,0.016354727946581427
RSA-2048,RSA-2048,21,0.7211000000000001,0.004586211217697402,0.9533778663539886,0.011698767328888346
RSA-2048,RSA-2048,22,0.7229599999999999,0.004594247610992591,0.9778460445022583,0.014825244165368796
RSA-2048,RSA-2048,23,0.72288,0.004798101476394355,1.0125767683410645,0.024607349926386995
RSA-2048,RSA-2048,24,0.72057,0.005124895662894563,1.0397830104923247,0.01736265403914435
RSA-2048,RSA-2048,25,0.7226199999999999,0.0058290079201638745,1.077768596177101,0.019216901134378437
RSA-2048,RSA-2048,26,0.72215,0.0050456251677402425,1.1071508663463594,0.023510689568185347
RSA-2048,RSA-2048,27,0.72229,0.004363599431661907,1.1585526397037507,0.02078128035623812
RSA-2048,RSA-2048,28,0.72145,0.004272717064247482,1.1851631684684754,0.03488827681956547
RSA-2048,RSA-2048,29,0.72116,0.004396008290357179,1.2203939142227171,0.03320109039254631
RSA-2048,RSA-2048,30,0.72342,0.0050596003355557456,1.2774441196632385,0.03925981430193634
ECDSA-256,ECDSA-256,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
ECDSA-256,ECDSA-256,1,0.17355,0.03637722883587723,2.193948083076477,0.06299962529099107
ECDSA-256,ECDSA-256,2,0.4577,0.022043341146225748,1.526887931575775,0.0482801471477159
ECDSA-256,ECDSA-256,3,0.5528299999999999,0.015119013048329445,1.286978620223999,0.02947737950491797
ECDSA-256,ECDSA-256,4,0.60099,0.015532006381090062,1.1489358359909057,0.03957364190684659
ECDSA-256,ECDSA-256,5,0.6369900000000001,0.012942046034362456,1.0476419573116302,0.028466417522553113
ECDSA-256,ECDSA-256,6,0.66171,0.009911996099003848,0.9829068922328948,0.026130841117002472
ECDSA-256,ECDSA-256,7,0.67985,0.008062016566040485,0.9330725752067567,0.022197794043034475
ECDSA-256,ECDSA-256,8,0.6923,0.0073857219612499,0.897734539499283,0.020842858459899694
ECDSA-256,ECDSA-256,9,0.7021900000000001,0.006857348045871829,0.8713125143527984,0.019567015340561513
ECDSA-256,ECDSA-256,10,0.709,0.005872534943843791,0.852276128320694,0.013986181599805584
ECDSA-256,ECDSA-256,11,0.7145699999999999,0.004683315539705174,0.83987917801857,0.01023190180568861
ECDSA-256,ECDSA-256,12,0.71716,0.004946648697182066,0.8378285811519623,0.016622218234404778
ECDSA-256,ECDSA-256,13,0.72197,0.0037145509673295425,0.829902794380188,0.01275890528005238
ECDSA-256,ECDSA-256,14,0.72215,0.0046493129719466075,0.8360493971157075,0.009939311164657374
ECDSA-256,ECDSA-256,15,0.72301,0.0037992543128005157,0.84016699344635,0.012397842640043833
ECDSA-256,ECDSA-256,16,0.72444,0.003523949804157528,0.8491845116615295,0.009942604136889162
ECDSA-256,ECDSA-256,17,0.7233,0.0033924753335711957,0.8655260456943512,0.014424682306351595
ECDSA-256,ECDSA-256,18,0.7224600000000001,0.0061415162803840455,0.88197544547081,0.019110251970483313
ECDSA-256,ECDSA-256,19,0.72385,0.005731637346052718,0.905913538160324,0.019251828640603857
ECDSA-256,ECDSA-256,20,0.72213,0.003683612357455657,0.9292121969032288,0.0191855360881167
ECDSA-256,ECDSA-256,21,0.7224,0.003944334896757353,0.9511967014408113,0.019750856349148138
ECDSA-256,ECDSA-256,22,0.72116,0.004456256525630237,0.9771624247837067,0.015650185092911894
ECDSA-256,ECDSA-256,23,0.72285,0.0025347583711273092,1.0046472075653077,0.0170532582155178
ECDSA-256,ECDSA-256,24,0.72185,0.005343791828946077,1.0394957232904434,0.017881771408592012
ECDSA-256,ECDSA-256,25,0.7226,0.0042226900325634895,1.0710380427503585,0.02803925277280308
ECDSA-256,ECDSA-256,26,0.72168,0.0035574022981820557,1.1129509929656982,0.027591268450805315
ECDSA-256,ECDSA-256,27,0.7226199999999999,0.004597777240749668,1.140863357772827,0.0273323806171942
ECDSA-256,ECDSA-256,28,0.72292,0.0031218940120097474,1.1934637864923476,0.029585556226395738
ECDSA-256,ECDSA-256,29,0.72195,0.0039370744919998086,1.225371434364319,0.03171598049317175
ECDSA-256,ECDSA-256,30,0.72107,0.005215585617486592,1.2690256203651429,0.03693235799341133
ML-DSA-44,ML-DSA-44,0,0.10103,0.006084780649748645,2.30310250667572,0.0007815340706910088
ML-DSA-44,ML-DSA-44,1,0.17355,0.03637722883587723,2.193948080558777,0.06299961755468259
ML-DSA-44,ML-DSA-44,2,0.45336,0.023332533319618574,1.5476836352920533,0.0544046540967497
ML-DSA-44,ML-DSA-44,3,0.5474300000000001,0.015882278733789355,1.2938554878807067,0.03124240109397482
ML-DSA-44,ML-DSA-44,4,0.60149,0.013360509803979126,1.149457522945404,0.02837094504226625
ML-DSA-44,ML-DSA-44,5,0.63464,0.012420967935086373,1.052912025575638,0.03175448874402174
ML-DSA-44,ML-DSA-44,6,0.65917,0.009356049736222368,0.9885387742042541,0.025269233475494392
ML-DSA-44,ML-DSA-44,7,0.67506,0.008528670601109086,0.942242051525116,0.024696642977822866
ML-DSA-44,ML-DSA-44,8,0.68928,0.007754683172838915,0.9039658972263336,0.019515806019834627
ML-DSA-44,ML-DSA-44,9,0.70078,0.006218574327502052,0.8734832725143432,0.01919642091011862
ML-DSA-44,ML-DSA-44,10,0.7057800000000001,0.00877443255525203,0.8579924812030792,0.02018706944789812
ML-DSA-44,ML-DSA-44,11,0.7124900000000001,0.006051345121357565,0.8430629897689819,0.014499922199612034
ML-DSA-44,ML-DSA-44,12,0.71567,0.005683318670557823,0.8361720947551727,0.013896849677458979
ML-DSA-44,ML-DSA-44,13,0.71883,0.005197445953970515,0.8323017774391174,0.013570356406225979
ML-DSA-44,ML-DSA-44,14,0.71998,0.005706098102517659,0.8358543478393555,0.015099853738340734
ML-DSA-44,ML-DSA-44,15,0.72098,0.005438708997138541,0.8447790614128113,0.011439801201640433
ML-DSA-44,ML-DSA-44,16,0.72267,0.008204070805263537,0.851081265182495,0.014064283479263277
