scheme,scheme_id,run,keygen_time_ms,client_serialize_time_ms,sign_time_ms,server_serialize_time_ms,verify_time_ms,server_verify_total_time_ms,train_time_s,train_loss
no_signature,no_signature,1,0.0,0.0,0.0,0.0,0.0,0.0,19.593108896854876,0.693165098965717
no_signature,no_signature,2,0.0,0.0,0.0,0.0,0.0,0.0,19.50096381897456,0.7334447103971107
no_signature,no_signature,3,0.0,0.0,0.0,0.0,0.0,0.0,19.451526300380937,0.6918520279251227
no_signature,no_signature,4,0.0,0.0,0.0,0.0,0.0,0.0,19.68418346470959,0.7319350033862981
no_signature,no_signature,5,0.0,0.0,0.0,0.0,0.0,0.0,19.640364258093758,0.7321569400197996
no_signature,no_signature,6,0.0,0.0,0.0,0.0,0.0,0.0,19.804247850039197,0.7247586722823536
no_signature,no_signature,7,0.0,0.0,0.0,0.0,0.0,0.0,19.43619659519987,0.7270123268710053
no_signature,no_signature,8,0.0,0.0,0.0,0.0,0.0,0.0,19.575087236969267,0.7215898898837535
no_signature,no_signature,9,0.0,0.0,0.0,0.0,0.0,0.0,19.855938558477597,0.719131262623333
no_signature,no_signature,10,0.0,0.0,0.0,0.0,0.0,0.0,20.002405309691095,0.7275143227469191
RSA-2048,RSA-2048,1,59.48379172400256,1.9766034663188723,8.130786548135752,1.1672870713906485,5.222257201094132,5.286194190072467,19.812387327986848,0.6926846847346145
RSA-2048,RSA-2048,2,58.27998183279604,1.924022699240548,8.104348282795346,1.1803442530799122,5.559604311129029,5.626102464351135,19.388703823587857,0.7369604299792597
RSA-2048,RSA-2048,3,58.102932600304435,1.8724306703855096,7.8315547093127655,1.1888078619570315,5.436432579687437,5.500086720955197,19.768183716813414,0.6982764364760127
RSA-2048,RSA-2048,4,57.82102538117515,1.9228086197593033,7.813215161828894,1.1955486494116,5.2922710349472375,5.361357290530526,19.531140162593218,0.7272812080967956
RSA-2048,RSA-2048,5,60.33323082413209,1.8507940807224046,8.026362324211075,1.1667082128890602,5.312106704028895,5.376068860835663,19.554247742964264,0.7281448811215174
RSA-2048,RSA-2048,6,68.25865249615158,1.8973156157880533,8.155855384344802,1.1847817199304225,5.21353675052519,5.283504856439882,19.83720207153664,0.7267768165924708
RSA-2048,RSA-2048,7,61.08606816269454,1.860503165516953,7.89233550041288,1.1467672418802433,5.206299043881342,5.269036071064522,19.63924744480988,0.7237619985108307
RSA-2048,RSA-2048,8,63.81827348610382,1.9359346680963525,8.15813018785164,1.2375033064744867,5.231612179583508,5.295604912098445,19.4570184988024,0.7168016426457269
RSA-2048,RSA-2048,9,62.21927139054358,1.8860060054187482,8.051754758538008,1.2098936146745565,5.228201791954484,5.29093321878458,19.554219959680147,0.7258004909615217
RSA-2048,RSA-2048,10,61.88120191295937,1.9471062991457173,7.967139884519031,1.2158187129534288,5.288909480441311,5.354010666875741,19.762953307962356,0.7257174556213307
ECDSA-256,ECDSA-256,1,0.3754357566746127,2.0013074204325183,6.886054743081286,1.228047951202168,5.401046394836105,5.48342376287711,19.685836692805168,0.6906618305594244
ECDSA-256,ECDSA-256,2,0.2686310547869127,2.006328830805866,6.893077685963312,1.1919792854071354,5.309958707075515,5.397072761552358,19.515146777906146,0.7269318529581963
ECDSA-256,ECDSA-256,3,0.27860292699182937,2.0076079096178945,7.10493584124677,1.1737394204828386,5.279734526217558,5.36791352943202,19.58460952034996,0.6935507750616141
ECDSA-256,ECDSA-256,4,0.2857065196924687,2.010547320436017,7.338333604081175,1.1407587541422013,5.300819587040021,5.3819040139205265,19.620526405146034,0.7298422604958236
ECDSA-256,ECDSA-256,5,0.287591532881628,2.0419469502909227,7.030154707220643,1.1817516444716099,5.41836283480123,5.5073590518440545,19.814696708385213,0.7269275723265758
ECDSA-256,ECDSA-256,6,0.28835276219368344,1.9871169538236613,7.016977977473236,1.2722130399196827,5.469779800623605,5.569050273237082,19.66767600886058,0.7227161995546147
ECDSA-256,ECDSA-256,7,0.27971619196852066,1.9881480769253743,7.3473688649634,1.197465899555582,5.368487723947766,5.457775834171672,19.572170259333216,0.733943303456903
ECDSA-256,ECDSA-256,8,0.276162164906612,2.035726579682228,7.249544102232854,1.1854760930872925,5.309898720588486,5.399309531009399,19.592006155468212,0.7239900378612067
ECDSA-256,ECDSA-256,9,0.30214332121729937,1.991753195567624,7.3134735412895155,1.1869468865915667,5.4112338321282945,5.497983514796893,19.607672998301375,0.7223633402615118
ECDSA-256,ECDSA-256,10,0.2750189214323447,1.970595098876655,6.892377775317631,1.1784411687403393,5.336770880191226,5.434880545362785,19.797683096126807,0.7300413811312918
ML-DSA-44,ML-DSA-44,1,0.2542688988614327,1.9795363931916121,7.706496010844851,1.178597583202594,6.355459693198353,6.414915227408779,19.567759518346673,0.6934274578165212
ML-DSA-44,ML-DSA-44,2,0.2416231875152173,1.9519466068595148,7.574979986141698,1.1465792245386301,6.315028149013668,6.371800607691163,19.461570964836284,0.7301316781957742
