scheme,final_accuracy_mean,final_accuracy_std,n_runs
no_signature,0.73032,0.006243957078648108,5
ML-DSA-44,0.7316800000000001,0.009658778390666202,5
ML-DSA-65,0.7314,0.008208836701993762,5
ML-DSA-87,0.7329800000000001,0.008132465800727337,5
Falcon-padded-512,0.73004,0.005087533783671635,5
SPHINCS+-SHA2-128s-simple,0.73008,0.007634919776919713,5
RSA-2048,0.7284999999999999,0.009046546302318905,5
ECDSA-256,0.72878,0.0039085803049188714,5
