scheme,run,round,crypto_cost_round,train_cost_round,crypto_fraction
ECDSA-256,1,1,0.027977790916337,103.56910853064619,0.0002700634922250101
ECDSA-256,1,2,0.0058654919266686,102.25506901787594,5.735809040652118e-05
ECDSA-256,1,3,0.0049743610434219,103.21625856868923,4.8191257769689416e-05
ECDSA-256,1,4,0.0057289144024238875,103.60174662759528,5.529441164794764e-05
ECDSA-256,1,5,0.0059911361895486,103.78191045229323,5.7724803159652946e-05
ECDSA-256,1,6,0.0049736306536927,104.24987354734913,4.770646917932568e-05
ECDSA-256,1,7,0.0053916166070832,102.28135071741417,5.271080576089392e-05
ECDSA-256,1,8,0.0056965253315848004,101.61697349441238,5.605565500766748e-05
ECDSA-256,1,9,0.005310174543409,104.306165024871,5.090690677375072e-05
ECDSA-256,1,10,0.0052139582112416,102.17985693505034,5.102465717998954e-05
ECDSA-256,1,11,0.0052427765913295,103.79304023529403,5.050928049290738e-05
ECDSA-256,1,12,0.0060865229461327,102.77543852897361,5.9218064171144704e-05
ECDSA-256,1,13,0.0053584463894351,101.2424789799843,5.292405769487868e-05
ECDSA-256,1,14,0.0051706319209173,103.37628606730141,5.001508090527995e-05
ECDSA-256,1,15,0.0052931092213824,102.32849210198037,5.172396594593083e-05
ECDSA-256,1,16,0.0055892011150701,104.41713801887818,5.352475714692851e-05
ECDSA-256,1,17,0.005755527177824,102.23116911854595,5.629597327744672e-05
ECDSA-256,1,18,0.005625145044176201,102.94800412002951,5.4637656625908694e-05
ECDSA-256,1,19,0.005281692370770599,103.086875815643,5.123272709041939e-05
ECDSA-256,1,20,0.005321458913384,101.83505632984452,5.225293767489767e-05
ECDSA-256,1,21,0.0050541711971148,101.23211890365928,4.9924064882547284e-05
ECDSA-256,1,22,0.005521302344275799,103.96450822707266,5.310474921730806e-05
ECDSA-256,1,23,0.0049913523253037,101.7880309659522,4.903432682936927e-05
ECDSA-256,1,24,0.005460646934806,103.1154744150117,5.295381516396934e-05
ECDSA-256,1,25,0.005370232742278399,101.99709332035854,5.2648069029065594e-05
ECDSA-256,1,26,0.0053917046170667005,102.8962039873004,5.2396705617755534e-05
ECDSA-256,1,27,0.0061160542536512,103.40688253915869,5.914202602032282e-05
ECDSA-256,1,28,0.005952526815234001,102.27971871010959,5.819511905481005e-05
ECDSA-256,1,29,0.0052200271747992,103.56868725875393,5.0399056206199325e-05
ECDSA-256,1,30,0.0056769680231795,102.26796918874606,5.5507633065879065e-05
ECDSA-256,2,1,0.0264712478965505,101.92484593228437,0.0002596459626879293
ECDSA-256,2,2,0.0055406258907156,101.3953052982688,5.464082513532073e-05
ECDSA-256,2,3,0.005360831506549001,102.81034087995067,5.21402024915774e-05
ECDSA-256,2,4,0.0055032451637073996,101.8177092850674,5.40470588872208e-05
ECDSA-256,2,5,0.005089177982880401,102.43334460770711,4.968035721365477e-05
ECDSA-256,2,6,0.0054374574683590995,102.6423528790474,5.29719875170541e-05
ECDSA-256,2,7,0.0059451418928786,101.00758701981977,5.8854905532468836e-05
ECDSA-256,2,8,0.0055456501431747005,103.66731211496517,5.3491822862059835e-05
ECDSA-256,2,9,0.0055565733928219,100.27795299398713,5.540864511815343e-05
ECDSA-256,2,10,0.005540845450012301,101.39069244940765,5.4645476167735575e-05
ECDSA-256,2,11,0.0051788173150257,102.34670118731447,5.0598165024340105e-05
ECDSA-256,2,12,0.0053540631197377,100.39957628631964,5.332470329000726e-05
ECDSA-256,2,13,0.0056296454276877,102.38209602306597,5.498359682209478e-05
ECDSA-256,2,14,0.005869253771378401,100.10618171701208,5.862684576396576e-05
ECDSA-256,2,15,0.0053199450485392,101.1867133511696,5.257276561452415e-05
ECDSA-256,2,16,0.0054499555844801,102.01939070550725,5.341792791996488e-05
ECDSA-256,2,17,0.00528819975443,101.25533523503691,5.222365392442437e-05
ECDSA-256,2,18,0.005413804901762,102.29816894209944,5.2919015702025285e-05
ECDSA-256,2,19,0.0065167883876696,101.04045002302155,6.449266705681847e-05
ECDSA-256,2,20,0.0054497250821427,101.75621769181453,5.355381078629828e-05
ECDSA-256,2,21,0.0056746855843799,103.3210553592071,5.49198216368597e-05
ECDSA-256,2,22,0.0054682283662246004,100.46223835926503,5.442772162271895e-05
ECDSA-256,2,23,0.005136832362039601,103.64104233239777,4.956123229466955e-05
ECDSA-256,2,24,0.005145542556418799,100.69306742097251,5.109864817841824e-05
ECDSA-256,2,25,0.0052792972419398,100.44045652728528,5.255869946696813e-05
ECDSA-256,2,26,0.0052735034842029,102.0316535087768,5.168230403066943e-05
ECDSA-256,2,27,0.0051933389622702,99.21260717324913,5.2342814852371384e-05
ECDSA-256,2,28,0.005123754264785499,102.16617818619125,5.0148663738977796e-05
ECDSA-256,2,29,0.0055773088242845,101.30807568575256,5.5049923277201784e-05
ECDSA-256,2,30,0.0051291736308471,100.86099331639707,5.0851301747563397e-05
