scheme,rows,expected
ECDSA-256,1500,1500
Falcon-padded-512,1500,1500
ML-DSA-44,1500,1500
ML-DSA-65,1500,1500
ML-DSA-87,1500,1500
RSA-2048,1500,1500
SPHINCS+-SHA2-128s-simple,1500,1500
no_signature,1500,1500
