run,round,reference_scheme,scheme,abs_diff
4,12,no_signature,ECDSA-256,0.006099999999999994
4,13,no_signature,ECDSA-256,0.00029999999999996696
4,14,no_signature,ECDSA-256,0.00039999999999995595
4,15,no_signature,ECDSA-256,0.0039000000000000146
4,16,no_signature,ECDSA-256,0.0030000000000000027
4,17,no_signature,ECDSA-256,0.0031999999999999806
4,18,no_signature,ECDSA-256,0.006199999999999983
4,19,no_signature,ECDSA-256,0.0012999999999999678
4,20,no_signature,ECDSA-256,0.0030999999999999917
4,21,no_signature,ECDSA-256,0.0010000000000000009
4,22,no_signature,ECDSA-256,0.0029000000000000137
4,23,no_signature,ECDSA-256,0.0045000000000000595
4,24,no_signature,ECDSA-256,0.0009000000000000119
4,25,no_signature,ECDSA-256,0.0045000000000000595
4,26,no_signature,ECDSA-256,0.0026999999999999247
4,27,no_signature,ECDSA-256,0.000300000000000078
4,28,no_signature,ECDSA-256,0.0046999999999999265
4,29,no_signature,ECDSA-256,0.0020000000000000018
4,30,no_signature,ECDSA-256,0.0020999999999999908
5,0,no_signature,ECDSA-256,0.0
5,1,no_signature,ECDSA-256,0.0
5,2,no_signature,ECDSA-256,0.01629999999999998
5,3,no_signature,ECDSA-256,0.0030000000000000027
5,4,no_signature,ECDSA-256,0.006000000000000005
5,5,no_signature,ECDSA-256,0.0031999999999999806
5,6,no_signature,ECDSA-256,0.0021999999999999797
5,7,no_signature,ECDSA-256,0.0050000000000000044
5,8,no_signature,ECDSA-256,0.0008000000000000229
5,9,no_signature,ECDSA-256,0.008900000000000019
5,10,no_signature,ECDSA-256,0.0036000000000000476
5,11,no_signature,ECDSA-256,0.0024999999999999467
5,12,no_signature,ECDSA-256,0.00029999999999996696
5,13,no_signature,ECDSA-256,0.0017000000000000348
5,14,no_signature,ECDSA-256,0.005600000000000049
5,15,no_signature,ECDSA-256,0.00019999999999997797
5,16,no_signature,ECDSA-256,0.0030000000000000027
5,17,no_signature,ECDSA-256,0.0027000000000000357
5,18,no_signature,ECDSA-256,0.005799999999999916
5,19,no_signature,ECDSA-256,0.0014999999999999458
5,20,no_signature,ECDSA-256,0.0025000000000000577
5,21,no_signature,ECDSA-256,0.0030000000000000027
5,22,no_signature,ECDSA-256,0.0023000000000000798
5,23,no_signature,ECDSA-256,0.0029999999999998916
5,24,no_signature,ECDSA-256,0.0035000000000000586
5,25,no_signature,ECDSA-256,0.0012999999999999678
5,26,no_signature,ECDSA-256,0.0036000000000000476
5,27,no_signature,ECDSA-256,0.005299999999999971
5,28,no_signature,ECDSA-256,0.0022999999999999687
5,29,no_signature,ECDSA-256,0.0010999999999999899
