scheme,mean,std,max,count
ECDSA-256,0.003606000000000001,0.0031077998864515364,0.016900000000000026,150
Falcon-padded-512,0.003952000000000006,0.003139993587818873,0.023899999999999977,150
ML-DSA-44,0.003956666666666663,0.0036875523732677793,0.02290000000000003,150
ML-DSA-65,0.004017999999999999,0.003732715333157519,0.029899999999999982,150
ML-DSA-87,0.0032133333333333293,0.003027783353510325,0.021600000000000008,150
RSA-2048,0.004043333333333334,0.0035948400131797227,0.024400000000000033,150
SPHINCS+-SHA2-128s-simple,0.003470666666666669,0.003449901207936107,0.021199999999999997,150
