scheme,r,p_value,n
no_signature,0.0828045851892567,0.8946905338311238,5
ML-DSA-44,0.4575945908835103,0.4383974057860006,5
ML-DSA-65,0.12089255205548055,0.8464505846485179,5
ML-DSA-87,-0.03957725968548509,0.9496218261456009,5
Falcon-padded-512,-0.6912408372873067,0.19613237921588247,5
SPHINCS+-SHA2-128s-simple,-0.08207839903398373,0.8956119952848638,5
RSA-2048,0.8477770954753728,0.06964344776705798,5
ECDSA-256,-0.39245492384540914,0.5134519507273808,5
