scheme,scheme_id,mean_accuracy,std_accuracy,min_accuracy,max_accuracy
no_signature,no_signature,0.7313699999999999,0.006066126349565167,0.7223,0.7394
RSA-2048,RSA-2048,0.72968,0.0039052101949404255,0.7237,0.7341
ECDSA-256,ECDSA-256,0.7312700000000001,0.004716413420763231,0.7228,0.7372
ML-DSA-44,ML-DSA-44,0.7314,0.005010433558530089,0.7226,0.7372
ML-DSA-65,ML-DSA-65,0.733,0.00377153078264575,0.7271,0.7384
ML-DSA-87,ML-DSA-87,0.7328999999999999,0.00617755794972594,0.722,0.743
Falcon-padded-512,Falcon-padded-512,0.73051,0.00727346012721746,0.718,0.7383
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,0.73102,0.005327246526636032,0.7202,0.7371
