scheme,scheme_id,run,final_accuracy,final_loss
no_signature,no_signature,1,0.7335,0.8989101070404053
no_signature,no_signature,2,0.7355,0.8757617149353027
no_signature,no_signature,3,0.7322,0.8849998186111451
no_signature,no_signature,4,0.7223,0.9131953018188476
no_signature,no_signature,5,0.7229,0.9070662242412568
no_signature,no_signature,6,0.7365,0.8724069628715515
no_signature,no_signature,7,0.733,0.8843534364700317
no_signature,no_signature,8,0.7343,0.86277963514328
no_signature,no_signature,9,0.7241,0.9089508085250856
no_signature,no_signature,10,0.7394,0.8680502369880676
RSA-2048,RSA-2048,1,0.733,0.8877062498092652
RSA-2048,RSA-2048,2,0.7334,0.883038427066803
RSA-2048,RSA-2048,3,0.7332,0.9019031344413756
RSA-2048,RSA-2048,4,0.7237,0.9066480998039246
RSA-2048,RSA-2048,5,0.7244,0.94003663482666
RSA-2048,RSA-2048,6,0.7291,0.8913977663040161
RSA-2048,RSA-2048,7,0.7316,0.887705813407898
RSA-2048,RSA-2048,8,0.7272,0.8834030057907104
RSA-2048,RSA-2048,9,0.7271,0.893744401550293
RSA-2048,RSA-2048,10,0.7341,0.8612087087631226
ECDSA-256,ECDSA-256,1,0.7317,0.8840579858779907
ECDSA-256,ECDSA-256,2,0.729,0.893199556350708
ECDSA-256,ECDSA-256,3,0.736,0.8989003175735474
ECDSA-256,ECDSA-256,4,0.7228,0.9065518022537232
ECDSA-256,ECDSA-256,5,0.7271,0.9119708375930786
ECDSA-256,ECDSA-256,6,0.7291,0.9104221254348754
ECDSA-256,ECDSA-256,7,0.7359,0.9020069598197936
ECDSA-256,ECDSA-256,8,0.7372,0.8736193091869354
ECDSA-256,ECDSA-256,9,0.7287,0.9057167490959168
ECDSA-256,ECDSA-256,10,0.7352,0.8909718135833741
ML-DSA-44,ML-DSA-44,1,0.7347,0.8880806259155274
ML-DSA-44,ML-DSA-44,2,0.732,0.8909636138916016
ML-DSA-44,ML-DSA-44,3,0.7372,0.8942476961135865
ML-DSA-44,ML-DSA-44,4,0.7226,0.9236523074150086
ML-DSA-44,ML-DSA-44,5,0.7261,0.9299663756370544
ML-DSA-44,ML-DSA-44,6,0.7269,0.8757754392623901
ML-DSA-44,ML-DSA-44,7,0.7344,0.8771036736488342
ML-DSA-44,ML-DSA-44,8,0.7367,0.8724427513122559
ML-DSA-44,ML-DSA-44,9,0.7287,0.8948242155075073
ML-DSA-44,ML-DSA-44,10,0.7347,0.8908905796051025
ML-DSA-65,ML-DSA-65,1,0.7361,0.8765638542175292
ML-DSA-65,ML-DSA-65,2,0.7384,0.8830785650253296
ML-DSA-65,ML-DSA-65,3,0.7357,0.9042269940376282
ML-DSA-65,ML-DSA-65,4,0.7296,0.8934378330230713
ML-DSA-65,ML-DSA-65,5,0.7271,0.9149902079582214
ML-DSA-65,ML-DSA-65,6,0.734,0.8938136190414429
ML-DSA-65,ML-DSA-65,7,0.7282,0.8997542556762695
ML-DSA-65,ML-DSA-65,8,0.7343,0.8717671018600464
ML-DSA-65,ML-DSA-65,9,0.7311,0.9084048296928404
ML-DSA-65,ML-DSA-65,10,0.7355,0.8692345333099365
ML-DSA-87,ML-DSA-87,1,0.743,0.8703490026473999
ML-DSA-87,ML-DSA-87,2,0.735,0.8738800296783448
ML-DSA-87,ML-DSA-87,3,0.7354,0.8899833028793335
ML-DSA-87,ML-DSA-87,4,0.722,0.9123745720863342
ML-DSA-87,ML-DSA-87,5,0.7254,0.93382340593338
ML-DSA-87,ML-DSA-87,6,0.7321,0.8934428828239441
ML-DSA-87,ML-DSA-87,7,0.7361,0.8846621585845947
ML-DSA-87,ML-DSA-87,8,0.7325,0.8891841710090638
ML-DSA-87,ML-DSA-87,9,0.7291,0.9106778007507323
ML-DSA-87,ML-DSA-87,10,0.7384,0.8935734852790832
Falcon-padded-512,Falcon-padded-512,1,0.7383,0.8952829254150391
Falcon-padded-512,Falcon-padded-512,2,0.7291,0.8945550080299377
Falcon-padded-512,Falcon-padded-512,3,0.7366,0.8931921049118042
Falcon-padded-512,Falcon-padded-512,4,0.7205,0.9188735656738282
Falcon-padded-512,Falcon-padded-512,5,0.718,0.936240488910675
Falcon-padded-512,Falcon-padded-512,6,0.7277,0.892905605506897
Falcon-padded-512,Falcon-padded-512,7,0.7328,0.9136964428901672
Falcon-padded-512,Falcon-padded-512,8,0.7366,0.8750146915435791
Falcon-padded-512,Falcon-padded-512,9,0.7273,0.9080730202674866
Falcon-padded-512,Falcon-padded-512,10,0.7382,0.8655026546478272
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,1,0.7345,0.8908253807067871
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,2,0.7357,0.8783658651351929
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,3,0.7351,0.8971290281295776
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,4,0.7276,0.9108602715492248
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,5,0.7202,0.9249910993099212
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,6,0.7317,0.878659334564209
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,7,0.7314,0.9006965981483459
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,8,0.732,0.8871590874671936
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,9,0.7249,0.9075348165512084
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,10,0.7371,0.8556496856689453
