run,round,node_id,scheme,keygen_time,sign_time,verify_time,train_time,train_loss,payload_size,sig_size,pubkey_size,sig_valid,has_nan
1,1,11140646075968361172,no_signature,0.0,0.0,0.0,11.608849053969607,2.058623083837473,0.0,0.0,0.0,True,False
1,1,4139277730797218256,no_signature,0.0,0.0,0.0,11.504790917038918,2.0093023594777297,0.0,0.0,0.0,True,False
1,1,7111261604877845241,no_signature,0.0,0.0,0.0,11.717271240893751,2.0277708199373476,0.0,0.0,0.0,True,False
1,1,11157461968662551469,no_signature,0.0,0.0,0.0,11.559534859843552,1.9586738105032855,0.0,0.0,0.0,True,False
1,1,1639822279275520294,no_signature,0.0,0.0,0.0,10.876884187106043,2.092803584542244,0.0,0.0,0.0,True,False
1,1,920929293445590519,no_signature,0.0,0.0,0.0,10.998833523131907,2.069265321561485,0.0,0.0,0.0,True,False
1,1,12518190312422651861,no_signature,0.0,0.0,0.0,11.027728917077184,2.0010566605124502,0.0,0.0,0.0,True,False
1,1,16092654634679453900,no_signature,0.0,0.0,0.0,11.186129366979003,2.123507851248334,0.0,0.0,0.0,True,False
1,1,9911747000739196908,no_signature,0.0,0.0,0.0,6.425284408964217,2.0319199789861204,0.0,0.0,0.0,True,False
1,1,3603924993955191647,no_signature,0.0,0.0,0.0,6.400518572889268,2.0943100976336533,0.0,0.0,0.0,True,False
1,2,7111261604877845241,no_signature,0.0,0.0,0.0,10.977658258052543,1.8116256849021668,0.0,0.0,0.0,True,False
1,2,11157461968662551469,no_signature,0.0,0.0,0.0,11.01202469994314,1.81522674393502,0.0,0.0,0.0,True,False
1,2,11140646075968361172,no_signature,0.0,0.0,0.0,11.030197967076674,1.805113181187089,0.0,0.0,0.0,True,False
1,2,4139277730797218256,no_signature,0.0,0.0,0.0,11.08531141281128,1.8398625364728793,0.0,0.0,0.0,True,False
1,2,920929293445590519,no_signature,0.0,0.0,0.0,10.941192128928378,1.8180570442965076,0.0,0.0,0.0,True,False
1,2,16092654634679453900,no_signature,0.0,0.0,0.0,10.987438241019845,1.8546522848165719,0.0,0.0,0.0,True,False
1,2,1639822279275520294,no_signature,0.0,0.0,0.0,11.130512851988897,1.822727131236131,0.0,0.0,0.0,True,False
1,2,12518190312422651861,no_signature,0.0,0.0,0.0,11.164012195076793,1.8211918970581833,0.0,0.0,0.0,True,False
1,2,9911747000739196908,no_signature,0.0,0.0,0.0,6.808991777943447,1.7881633316635326,0.0,0.0,0.0,True,False
1,2,3603924993955191647,no_signature,0.0,0.0,0.0,6.9551214498933405,1.7990470016078584,0.0,0.0,0.0,True,False
1,3,4139277730797218256,no_signature,0.0,0.0,0.0,11.122887365985662,1.648637717696512,0.0,0.0,0.0,True,False
