run,round,node_id,scheme,keygen_time,sign_time,verify_time,train_time,train_loss,payload_size,sig_size,pubkey_size,sig_valid,has_nan
1,1,7843363253358633527,ECDSA-256,0.007279606070369482,0.0008907269220799208,0.0004212288185954094,10.843993621878326,2.0093023594777297,2482153.0,71.0,91.0,True,False
1,1,16591369875630802850,ECDSA-256,0.0040440368466079235,0.0008433929178863764,0.0001388872042298317,10.88003761600703,2.058623083837473,2482153.0,71.0,91.0,True,False
1,1,16940179424935387818,ECDSA-256,0.0049702629912644625,0.0008553259540349245,0.0001389870885759592,11.066443871939555,2.0277708199373476,2482153.0,72.0,91.0,True,False
1,1,505114033977935617,ECDSA-256,0.003818474942818284,0.0007383641786873341,0.0001410171389579773,11.172617158852518,1.9586738105032855,2482153.0,70.0,91.0,True,False
1,1,9064605563450031939,ECDSA-256,0.00021021696738898754,0.00042582512833178043,0.00013757706619799137,11.513439475791529,2.092803584542244,2482153.0,70.0,91.0,True,False
1,1,18319618707038659156,ECDSA-256,0.0002376958727836609,0.0002408099826425314,0.00015641190111637115,11.752403357997537,2.069265321561485,2482153.0,70.0,91.0,True,False
1,1,6875328272740516716,ECDSA-256,0.00024618208408355713,0.00044603506103157997,0.0001562279649078846,11.820080534089357,2.123507851248334,2482153.0,72.0,91.0,True,False
1,1,7416295919795269105,ECDSA-256,0.00013438984751701355,0.00018997886218130589,0.00014254217967391014,11.862560061039403,2.0010566605124502,2482153.0,72.0,91.0,True,False
1,1,16929850547347219271,ECDSA-256,0.00019038491882383823,0.00021760002709925175,0.000135921873152256,6.314361104043201,2.0319199789861204,2482153.0,72.0,91.0,True,False
1,1,1930813798384488044,ECDSA-256,0.0001304058823734522,0.00015770620666444302,0.00014156801626086235,6.343171729007736,2.0943100976336533,2482153.0,71.0,91.0,True,False
1,2,16591369875630802850,ECDSA-256,0.000226655974984169,0.00023354380391538143,0.00013693585060536861,11.139975911006331,1.807507524824446,2482153.0,70.0,91.0,True,False
1,2,7843363253358633527,ECDSA-256,0.0001939570065587759,0.0003246827982366085,0.00013754493556916714,11.234389006858692,1.8336042537810697,2482153.0,70.0,91.0,True,False
1,2,16940179424935387818,ECDSA-256,0.00020211003720760345,0.00023944792337715626,0.00013599800877273083,11.302534844027832,1.803209764942242,2482153.0,71.0,91.0,True,False
1,2,505114033977935617,ECDSA-256,0.0001771699171513319,0.00021499884314835072,0.00013638706877827644,11.342329361010343,1.8037894015099591,2482153.0,70.0,91.0,True,False
1,2,9064605563450031939,ECDSA-256,0.00015920796431601048,0.0005693980492651463,0.00014019501395523548,11.081185277085751,1.8521305983233605,2482153.0,71.0,91.0,True,False
1,2,18319618707038659156,ECDSA-256,0.000292148906737566,0.000300711952149868,0.00013941386714577675,11.097981751896441,1.8133776377720439,2482153.0,72.0,91.0,True,False
1,2,6875328272740516716,ECDSA-256,0.00015743589028716087,0.00016765901818871498,0.0001349528320133686,11.205688818125054,1.8462492964070314,2482153.0,70.0,91.0,True,False
1,2,7416295919795269105,ECDSA-256,0.00016384501941502094,0.00018473505042493343,0.00013921712525188923,11.104219893924892,1.8227630580306813,2482153.0,70.0,91.0,True,False
1,2,16929850547347219271,ECDSA-256,0.00020573800429701805,0.0001816640142351389,0.00013672607019543648,6.359525019070134,1.7788314204307119,2482153.0,70.0,91.0,True,False
1,2,1930813798384488044,ECDSA-256,0.00012470385991036892,0.00014192704111337662,0.00016638007946312428,6.38723913487047,1.799711462798392,2482153.0,70.0,91.0,True,False
1,3,7843363253358633527,ECDSA-256,0.0002598939463496208,0.00017744791693985462,0.00014307000674307346,11.29811904602684,1.6593126240809253,2482153.0,70.0,91.0,True,False
1,3,16591369875630802850,ECDSA-256,0.00013654585927724838,0.00019561592489480972,0.00013659987598657608,11.507101530907676,1.668760380927165,2482153.0,70.0,91.0,True,False
1,3,505114033977935617,ECDSA-256,0.000170496990904212,0.0002983261365443468,0.00013534515164792538,11.386529147159308,1.6312167834324443,2482153.0,71.0,91.0,True,False
1,3,16940179424935387818,ECDSA-256,0.00012521701864898205,0.00017891591414809227,0.00013681501150131226,11.51229628897272,1.6530537035814516,2482153.0,71.0,91.0,True,False
1,3,9064605563450031939,ECDSA-256,0.00017021317034959793,0.00023330887779593468,0.0001348231453448534,11.259767530020326,1.669423812513898,2482153.0,70.0,91.0,True,False
1,3,6875328272740516716,ECDSA-256,0.00016193208284676075,0.000178460031747818,0.00014090817421674728,11.08078715694137,1.6902259231373002,2482153.0,71.0,91.0,True,False
1,3,7416295919795269105,ECDSA-256,0.00017793499864637852,0.0001742909662425518,0.00013498589396476746,11.059420940000564,1.649292052931087,2482153.0,70.0,91.0,True,False
1,3,18319618707038659156,ECDSA-256,0.0001673419028520584,0.00021049403585493565,0.000136571004986763,11.327900911914185,1.642084574243825,2482153.0,70.0,91.0,True,False
1,3,16929850547347219271,ECDSA-256,0.00014065206050872803,0.00016902503557503223,0.00013915891759097576,6.349461131962016,1.624194551425375,2482153.0,71.0,91.0,True,False
1,3,1930813798384488044,ECDSA-256,0.0001228819601237774,0.0001416499726474285,0.0001454390585422516,6.434874884784222,1.638355724371163,2482153.0,71.0,91.0,True,False
