scheme,mean,std,max,count
ECDSA-256,0.013807922832169346,0.006375914275734835,0.038743989155315406,145
Falcon-padded-512,0.014835852787289628,0.006360494773340784,0.032453851577953996,145
ML-DSA-44,0.014978081694752262,0.006916794418007797,0.0367438333869998,145
ML-DSA-65,0.014770399152489368,0.006224926549265486,0.035830028828221616,145
ML-DSA-87,0.014437851884235959,0.006875664216062998,0.03522058668733835,145
RSA-2048,0.014458287303330883,0.006223284821105037,0.033746833802935805,145
SPHINCS+-SHA2-128s-simple,0.015571225609772612,0.00696022885229734,0.04158100181113411,145
