run,round,reference_scheme,scheme,max_abs_diff
1,15,no_signature,ML-DSA-44,0.018008371824011826
1,15,no_signature,ML-DSA-65,0.01672021521273226
1,15,no_signature,ML-DSA-87,0.015336968373662052
1,15,no_signature,RSA-2048,0.021475381485689393
1,15,no_signature,SPHINCS+-SHA2-128s-simple,0.027647580383137194
1,16,no_signature,ECDSA-256,0.00994736799440632
1,16,no_signature,Falcon-padded-512,0.01355325865050483
1,16,no_signature,ML-DSA-44,0.011130212130733175
1,16,no_signature,ML-DSA-65,0.009030792933588216
1,16,no_signature,ML-DSA-87,0.009528602952488696
1,16,no_signature,RSA-2048,0.007964190217657485
1,16,no_signature,SPHINCS+-SHA2-128s-simple,0.008278562071414752
1,17,no_signature,ECDSA-256,0.01260179080687962
1,17,no_signature,Falcon-padded-512,0.01467959498302246
1,17,no_signature,ML-DSA-44,0.015425649510262096
1,17,no_signature,ML-DSA-65,0.017485051359326653
1,17,no_signature,ML-DSA-87,0.016669074638773484
1,17,no_signature,RSA-2048,0.011465627491807462
1,17,no_signature,SPHINCS+-SHA2-128s-simple,0.020772565590640224
1,18,no_signature,ECDSA-256,0.014323623844990807
1,18,no_signature,Falcon-padded-512,0.008655203631320274
1,18,no_signature,ML-DSA-44,0.014873661761419021
1,18,no_signature,ML-DSA-65,0.010806310719575385
1,18,no_signature,ML-DSA-87,0.011827147720506526
1,18,no_signature,RSA-2048,0.010695748751203382
1,18,no_signature,SPHINCS+-SHA2-128s-simple,0.0176945074458425
1,19,no_signature,ECDSA-256,0.008659745254122386
1,19,no_signature,Falcon-padded-512,0.00909931390596841
1,19,no_signature,ML-DSA-44,0.011610566394421429
1,19,no_signature,ML-DSA-65,0.011680329670778422
1,19,no_signature,ML-DSA-87,0.006129580624282538
1,19,no_signature,RSA-2048,0.006246876626159414
1,19,no_signature,SPHINCS+-SHA2-128s-simple,0.006426936476684797
1,20,no_signature,ECDSA-256,0.009720012605095085
1,20,no_signature,Falcon-padded-512,0.010011665906888068
1,20,no_signature,ML-DSA-44,0.012571130754253534
1,20,no_signature,ML-DSA-65,0.006330579679947379
1,20,no_signature,ML-DSA-87,0.018413200147283426
1,20,no_signature,RSA-2048,0.011267222255801623
1,20,no_signature,SPHINCS+-SHA2-128s-simple,0.008239046896632296
1,21,no_signature,ECDSA-256,0.0100661577276005
1,21,no_signature,Falcon-padded-512,0.01434494412173859
1,21,no_signature,ML-DSA-44,0.009545503783756792
1,21,no_signature,ML-DSA-65,0.0022547217204976766
1,21,no_signature,ML-DSA-87,0.008741530936401731
1,21,no_signature,RSA-2048,0.012332740660828179
1,21,no_signature,SPHINCS+-SHA2-128s-simple,0.015443956326193387
1,22,no_signature,ECDSA-256,0.015761679035429965
1,22,no_signature,Falcon-padded-512,0.02085704124047638
1,22,no_signature,ML-DSA-44,0.01734379594758778
1,22,no_signature,ML-DSA-65,0.013939659413212069
1,22,no_signature,ML-DSA-87,0.02182912849151669
1,22,no_signature,RSA-2048,0.015674273676860806
1,22,no_signature,SPHINCS+-SHA2-128s-simple,0.015631121086379207
1,23,no_signature,ECDSA-256,0.0038640837188060884
1,23,no_signature,Falcon-padded-512,0.010824068333394277
1,23,no_signature,ML-DSA-44,0.01740542163971226
1,23,no_signature,ML-DSA-65,0.007805940953972967
1,23,no_signature,ML-DSA-87,0.015284083108194513
1,23,no_signature,RSA-2048,0.0067546667736440025
1,23,no_signature,SPHINCS+-SHA2-128s-simple,0.00856275758006797
1,24,no_signature,ECDSA-256,0.008684405835327536
1,24,no_signature,Falcon-padded-512,0.007323922875066502
1,24,no_signature,ML-DSA-44,0.020732066448266195
1,24,no_signature,ML-DSA-65,0.015337943614195715
1,24,no_signature,ML-DSA-87,0.005777527158633555
1,24,no_signature,RSA-2048,0.016179383983805806
1,24,no_signature,SPHINCS+-SHA2-128s-simple,0.004965361343107599
1,25,no_signature,ECDSA-256,0.012358531988145516
1,25,no_signature,Falcon-padded-512,0.020694461792481356
1,25,no_signature,ML-DSA-44,0.01242253973785512
1,25,no_signature,ML-DSA-65,0.01958497350562377
1,25,no_signature,ML-DSA-87,0.017661955512572103
1,25,no_signature,RSA-2048,0.011749429580645399
1,25,no_signature,SPHINCS+-SHA2-128s-simple,0.013983587539879772
1,26,no_signature,ECDSA-256,0.015345642867590437
1,26,no_signature,Falcon-padded-512,0.017750443559669593
1,26,no_signature,ML-DSA-44,0.004132864402440428
1,26,no_signature,ML-DSA-65,0.009019595118590573
1,26,no_signature,ML-DSA-87,0.011077209018742096
1,26,no_signature,RSA-2048,0.009859807734279469
1,26,no_signature,SPHINCS+-SHA2-128s-simple,0.012074064901887116
1,27,no_signature,ECDSA-256,0.0052070397163589965
1,27,no_signature,Falcon-padded-512,0.009172065426393206
1,27,no_signature,ML-DSA-44,0.010190986416722114
1,27,no_signature,ML-DSA-65,0.006800715624839693
1,27,no_signature,ML-DSA-87,0.008967398845861396
1,27,no_signature,RSA-2048,0.008247562422649124
1,27,no_signature,SPHINCS+-SHA2-128s-simple,0.009402083886114798
1,28,no_signature,ECDSA-256,0.00975822687919703
1,28,no_signature,Falcon-padded-512,0.023071205970227215
1,28,no_signature,ML-DSA-44,0.01570834935688903
1,28,no_signature,ML-DSA-65,0.021385025645133116
1,28,no_signature,ML-DSA-87,0.016262854850395803
1,28,no_signature,RSA-2048,0.011957470204877585
1,28,no_signature,SPHINCS+-SHA2-128s-simple,0.021224509639005018
1,29,no_signature,ECDSA-256,0.016610432605143
1,29,no_signature,Falcon-padded-512,0.011711980158927326
1,29,no_signature,ML-DSA-44,0.014634521711564097
