scheme,r,p_value,n
no_signature,-0.5342903857122434,0.35363724499727706,5
ML-DSA-44,0.1551087056662256,0.8033042394690131,5
ML-DSA-65,-0.35782947734147263,0.554315916902496,5
ML-DSA-87,0.47607439765888937,0.4175899481292264,5
Falcon-padded-512,0.6034337790267578,0.2812650078013723,5
SPHINCS+-SHA2-128s-simple,0.0785802693926081,0.9000515564754256,5
RSA-2048,-0.34923868024829857,0.564547651140664,5
ECDSA-256,0.40579826381059136,0.4978747251665328,5
