run,round,node_id,scheme,keygen_time,client_serialize_time,sign_time,server_serialize_time,verify_time,server_verify_total_time,train_time,train_loss,signed_payload_size,sig_size,pubkey_size,num_examples,sig_valid,has_nan
1,1,16991272053234864089,SLH_DSA_PURE_SHA2_128S,0.16846031602472067,0.003217254998162389,0.9656531590153463,0.001149096991866827,0.01091546198586002,0.011035959993023425,21.38164074998349,1.869180313695353,2482153.0,7856.0,32.0,10000.0,True,False
1,1,17575321175383556808,SLH_DSA_PURE_SHA2_128S,0.1882309730281122,0.0018416789826005697,0.7178413370274939,0.001158858009148389,0.01082618598593399,0.010923765017651021,21.591181943949778,1.8682018666983413,2482153.0,7856.0,32.0,10000.0,True,False
1,1,9158286688925014640,SLH_DSA_PURE_SHA2_128S,0.08144226000877097,0.0019015700090676546,0.6377205839962699,0.0011244919733144343,0.011416325985919684,0.01146468601655215,22.14906141202664,1.9192070861974844,2482153.0,7856.0,32.0,10000.0,True,False
1,1,17085139999429205279,SLH_DSA_PURE_SHA2_128S,0.13774559402372688,0.0020381719805300236,0.6393406130373478,0.00117151701124385,0.010904385999310762,0.010967874026391655,21.924485586001538,1.9079048412676436,2482153.0,7856.0,32.0,10000.0,True,False
1,1,2666512937478765477,SLH_DSA_PURE_SHA2_128S,0.07648134097689763,0.0013588009751401842,0.6039926490047947,0.0011044079437851906,0.010744258004706353,0.010793213034048676,10.620347032963764,1.9155706643296506,2482153.0,7856.0,32.0,10000.0,True,False
1,2,9158286688925014640,SLH_DSA_PURE_SHA2_128S,0.08642546803457662,0.0023541770060546696,0.6322562000132166,0.0013841729960404336,0.01065792900044471,0.010752322035841644,21.81320248200791,1.654506605654098,2482153.0,7856.0,32.0,10000.0,True,False
1,2,17085139999429205279,SLH_DSA_PURE_SHA2_128S,0.08589885599212721,0.002101377001963556,0.6299554349971004,0.0013438499881885946,0.010703773004934192,0.010754247021395713,21.838959646003786,1.6893312352153058,2482153.0,7856.0,32.0,10000.0,True,False
1,2,16991272053234864089,SLH_DSA_PURE_SHA2_128S,0.08157612796640024,0.0014620969886891544,0.6522039899718948,0.0013398000155575573,0.010811582033056766,0.010876382992137223,21.92056748503819,1.66270257718266,2482153.0,7856.0,32.0,10000.0,True,False
1,2,17575321175383556808,SLH_DSA_PURE_SHA2_128S,0.08010391495190561,0.0014255240093916655,0.6304480989929289,0.0010926459799520671,0.010773165966384113,0.010821924021001905,21.948141546046827,1.628189140615372,2482153.0,7856.0,32.0,10000.0,True,False
1,2,2666512937478765477,SLH_DSA_PURE_SHA2_128S,0.07605870196130127,0.001401578017976135,0.600848215050064,0.001074289029929787,0.01087763102259487,0.010924134985543787,10.521460317017045,1.6536243357978309,2482153.0,7856.0,32.0,10000.0,True,False
1,3,17085139999429205279,SLH_DSA_PURE_SHA2_128S,0.1536241719732061,0.0017680019955150783,0.6379897279548459,0.0010577269713394344,0.010838804999366403,0.010930372984148562,21.728157431003638,1.4599739370254663,2482153.0,7856.0,32.0,10000.0,True,False
1,3,17575321175383556808,SLH_DSA_PURE_SHA2_128S,0.17463511496316642,0.0016458930331282318,0.6547632399597205,0.0011725450167432427,0.01068021496757865,0.010726644017267972,21.800455646996852,1.4350601657510946,2482153.0,7856.0,32.0,10000.0,True,False
1,3,16991272053234864089,SLH_DSA_PURE_SHA2_128S,0.07857961201807484,0.0013877470046281815,0.6300615500076674,0.001109900011215359,0.010793538007419556,0.01084010599879548,21.976833631983027,1.444333466287619,2482153.0,7856.0,32.0,10000.0,True,False
1,3,9158286688925014640,SLH_DSA_PURE_SHA2_128S,0.1639551179832779,0.001321048999670893,0.6497788149863482,0.0010817230213433504,0.010911037970799953,0.010954822995699942,21.872807605017442,1.4463121279740867,2482153.0,7856.0,32.0,10000.0,True,False
