run,round,node_id,scheme,keygen_time,client_serialize_time,sign_time,server_serialize_time,verify_time,server_verify_total_time,train_time,train_loss,signed_payload_size,sig_size,pubkey_size,num_examples,sig_valid,has_nan
1,1,8866024404100809111,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.876528549997602,1.9586738105032855,0.0,0.0,0.0,5000.0,True,False
1,1,13837591280571405827,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.847738582000602,2.0277708199373476,0.0,0.0,0.0,5000.0,True,False
1,1,14738406475766905612,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.880481206986587,2.058623083837473,0.0,0.0,0.0,5000.0,True,False
1,1,3808155967010626305,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.916989102959633,2.0093023594777297,0.0,0.0,0.0,5000.0,True,False
1,1,14006989998340012994,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.639778426033445,2.092803584542244,0.0,0.0,0.0,5000.0,True,False
1,1,12860441552168236927,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.569204867002554,2.069265321561485,0.0,0.0,0.0,5000.0,True,False
1,1,12188872891779460014,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.471239008998964,2.0010566605124502,0.0,0.0,0.0,5000.0,True,False
1,1,5676638737713708505,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.697936799027957,2.123507851248334,0.0,0.0,0.0,5000.0,True,False
1,1,5542523038215455819,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,6.3700170230004005,2.0319199789861204,0.0,0.0,0.0,5000.0,True,False
1,1,14289340463326866145,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,6.217106318974402,2.0943100976336533,0.0,0.0,0.0,5000.0,True,False
1,2,3808155967010626305,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.58222121198196,1.8317432221333692,0.0,0.0,0.0,5000.0,True,False
1,2,13837591280571405827,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.71549050899921,1.8112405705603825,0.0,0.0,0.0,5000.0,True,False
1,2,14738406475766905612,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.605142446991522,1.8094663285905388,0.0,0.0,0.0,5000.0,True,False
1,2,8866024404100809111,no_signature,0.0,0.0,0.0,0.0,0.0,0.0,10.620011595019605,1.8026146516678438,0.0,0.0,0.0,5000.0,True,False
