run,round,node_id,scheme,keygen_time,client_serialize_time,sign_time,server_serialize_time,verify_time,server_verify_total_time,train_time,train_loss,signed_payload_size,sig_size,pubkey_size,num_examples,sig_valid,has_nan
1,1,17070618304500299506,RSA-2048,0.043489361996762455,0.0021902259904891253,0.009732595994137228,0.0011925569851882756,0.005856400995980948,0.008270259015262127,10.883992404968012,2.058623083837473,2482153.0,256.0,294.0,5000.0,True,False
1,1,12657934909901439050,RSA-2048,0.10182709200307727,0.0020282419864088297,0.01399341900832951,0.0011455719941295683,0.005376746004913002,0.00542091199895367,10.840109707962256,2.0093023594777297,2482153.0,256.0,294.0,5000.0,True,False
1,1,3160306376511666453,RSA-2048,0.062220013001933694,0.0017632230301387608,0.007114222971722484,0.0013471490237861872,0.0051748050027526915,0.005249904002994299,10.86288460897049,2.0277708199373476,2482153.0,256.0,294.0,5000.0,True,False
1,1,12067737496813238414,RSA-2048,0.03233054297743365,0.0019594759796746075,0.006916031998116523,0.0010621719993650913,0.00525819999165833,0.005301505036186427,10.90410568297375,1.9586738105032855,2482153.0,256.0,294.0,5000.0,True,False
1,1,5544045026541601737,RSA-2048,0.049919283017516136,0.0025340899592265487,0.012286825047340244,0.0011157229891978204,0.005162048968486488,0.005204182001762092,10.941331230045762,2.069265321561485,2482153.0,256.0,294.0,5000.0,True,False
1,1,17007428413348154025,RSA-2048,0.15175220899982378,0.0029504979611374438,0.015120013966225088,0.0010588010190986097,0.005154979997314513,0.005193957011215389,10.835276908008382,2.092803584542244,2482153.0,256.0,294.0,5000.0,True,False
1,1,17296236608946843273,RSA-2048,0.08175005199154839,0.001555334951262921,0.006844919000286609,0.0011612259550020099,0.005165044975001365,0.005206794012337923,10.801776257983875,2.0010566605124502,2482153.0,256.0,294.0,5000.0,True,False
1,1,11571676123414440166,RSA-2048,0.11959475098410621,0.0018733959877863526,0.006392562994733453,0.0010566889541223645,0.0053102560341358185,0.005361539020668715,10.819838214025367,2.123507851248334,2482153.0,256.0,294.0,5000.0,True,False
1,1,1285572563265548249,RSA-2048,0.060728404961992055,0.0019384580082260072,0.006434898008592427,0.0014075280050747097,0.005160044995136559,0.005202423024456948,6.107855575974099,2.0943100976336533,2482153.0,256.0,294.0,5000.0,True,False
1,1,14336189715183809431,RSA-2048,0.019249289005529135,0.0013669669860973954,0.006247908982913941,0.001057696994394064,0.0052772610215470195,0.0053154660272412,6.1401556369964965,2.0319199789861204,2482153.0,256.0,294.0,5000.0,True,False
