round,node_id,scheme,sign_time,verify_time,sig_size,pubkey_size,verified
1,3723285563534112119,Falcon-padded-512,0.00038983114063739777,0.00048060761764645576,666.0,897.0,True
1,17696844056621139281,Falcon-padded-512,0.0005644387565553188,0.0001589832827448845,666.0,897.0,True
2,17696844056621139281,Falcon-padded-512,0.00033740606158971786,7.928628474473953e-05,666.0,897.0,True
2,3723285563534112119,Falcon-padded-512,0.0003280588425695896,0.00011386210098862648,666.0,897.0,True
3,17696844056621139281,Falcon-padded-512,0.00048547424376010895,0.00012226123362779617,666.0,897.0,True
3,3723285563534112119,Falcon-padded-512,0.0003561130724847317,8.422508835792542e-05,666.0,897.0,True
4,17696844056621139281,Falcon-padded-512,0.0003416151739656925,0.00011734990403056145,666.0,897.0,True
4,3723285563534112119,Falcon-padded-512,0.00032495521008968353,8.853524923324585e-05,666.0,897.0,True
5,17696844056621139281,Falcon-padded-512,0.0003282311372458935,8.919276297092438e-05,666.0,897.0,True
5,3723285563534112119,Falcon-padded-512,0.0003198091872036457,0.000141786877065897,666.0,897.0,True
6,17696844056621139281,Falcon-padded-512,0.00032543623819947243,0.00010227598249912262,666.0,897.0,True
6,3723285563534112119,Falcon-padded-512,0.0003222813829779625,7.26836733520031e-05,666.0,897.0,True
7,3723285563534112119,Falcon-padded-512,0.0004891529679298401,0.0001385561190545559,666.0,897.0,True
7,17696844056621139281,Falcon-padded-512,0.00039336923509836197,8.939206600189209e-05,666.0,897.0,True
8,3723285563534112119,Falcon-padded-512,0.0004977374337613583,0.00011246092617511749,666.0,897.0,True
8,17696844056621139281,Falcon-padded-512,0.00032257288694381714,0.00016856519505381584,666.0,897.0,True
9,3723285563534112119,Falcon-padded-512,0.00031627388671040535,0.00012845313176512718,666.0,897.0,True
9,17696844056621139281,Falcon-padded-512,0.00031993910670280457,9.149219840765e-05,666.0,897.0,True
10,17696844056621139281,Falcon-padded-512,0.00031997915357351303,0.00011405209079384804,666.0,897.0,True
10,3723285563534112119,Falcon-padded-512,0.00032506510615348816,7.80331902205944e-05,666.0,897.0,True
