round,node_id,scheme,sign_time,verify_time,sig_size,pubkey_size,verified
1,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.7153816353529692,0.0008393991738557816,7856.0,32.0,True
1,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6529252137988806,0.0006808419711887836,7856.0,32.0,True
2,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6552361533977091,0.0006805132143199444,7856.0,32.0,True
2,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6673320196568966,0.0008507207967340946,7856.0,32.0,True
3,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.660218842793256,0.0006616632454097271,7856.0,32.0,True
3,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6539170546457171,0.0008200649172067642,7856.0,32.0,True
4,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6599452188238502,0.0006631570868194103,7856.0,32.0,True
4,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6572367791086435,0.0006422828882932663,7856.0,32.0,True
5,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6512901256792247,0.000631566159427166,7856.0,32.0,True
5,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6524517158977687,0.0007471498101949692,7856.0,32.0,True
6,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.7001480292528868,0.0010482347570359707,7856.0,32.0,True
6,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6908258451148868,0.0006221858784556389,7856.0,32.0,True
7,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6461782651022077,0.0006421967409551144,7856.0,32.0,True
7,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6513513154350221,0.0006529628299176693,7856.0,32.0,True
8,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6653648060746491,0.0006128777749836445,7856.0,32.0,True
8,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6825559954158962,0.0006217560730874538,7856.0,32.0,True
9,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6387817841023207,0.0006492463871836662,7856.0,32.0,True
9,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6467619729228318,0.0006999699398875237,7856.0,32.0,True
10,4525784893824265347,SLH_DSA_PURE_SHA2_128S,0.6857739128172398,0.00061442656442523,7856.0,32.0,True
10,14886805032900544067,SLH_DSA_PURE_SHA2_128S,0.6665895297192037,0.001098398119211197,7856.0,32.0,True
