run,round,node_id,scheme,keygen_time,sign_time,verify_time,train_time,train_loss,payload_size,sig_size,pubkey_size,verified
1,1,1759560414447879584,ECDSA-256,0.005360099006793462,0.0008780059943092056,0.0007184370042523369,22.682589414995164,1.9886225694284652,2482164.0,71.0,91.0,True
1,1,1351547731160210543,ECDSA-256,0.004184165998594835,0.0006723289989167824,0.00013870900147594512,22.690335583996784,1.9511833274707246,2482164.0,72.0,91.0,True
1,1,928249063204327094,ECDSA-256,0.003242615995986853,0.0005904639983782545,0.00015134100249269977,22.992602902995714,1.9673776721802,2482163.0,72.0,91.0,True
1,1,6301136110603806807,ECDSA-256,0.0036314620010671206,0.0006632310032728128,0.0001553289985167794,22.960891582995828,1.904045512120183,2482164.0,71.0,91.0,True
1,1,13801579693159999560,ECDSA-256,0.00014498800010187551,0.00014180900325300172,0.00020353999570943415,10.787024741002824,1.9484291065234345,2482165.0,72.0,91.0,True
1,2,1759560414447879584,ECDSA-256,0.00029270999948494136,0.0004065079992869869,0.0001399569955538027,21.884264856998925,1.7048787141379458,2482164.0,71.0,91.0,True
1,2,6301136110603806807,ECDSA-256,0.0003306010039523244,0.0002768240010482259,0.0001389030003338121,22.0743272519976,1.7076553734727562,2482164.0,71.0,91.0,True
1,2,1351547731160210543,ECDSA-256,0.00014429199654841796,0.00019417300063651055,0.00014770700363442302,22.089581707994512,1.7110412117010487,2482164.0,70.0,91.0,True
1,2,928249063204327094,ECDSA-256,0.00014784100494580343,0.00015139699826249853,0.00013542499800678343,22.278739695000695,1.6927795326366972,2482163.0,70.0,91.0,True
1,2,13801579693159999560,ECDSA-256,0.000124072001199238,0.00014384200039785355,0.00013606299762614071,10.789793732001272,1.6866076019244454,2482165.0,71.0,91.0,True
1,3,928249063204327094,ECDSA-256,0.0003039899966097437,0.0002567589981481433,0.00013688999752048403,22.12386052799411,1.4904791855583557,2482163.0,72.0,91.0,True
1,3,1759560414447879584,ECDSA-256,0.00018347099830862135,0.0002426310020382516,0.0001450159979867749,22.170031674999336,1.5097246967946378,2482164.0,71.0,91.0,True
1,3,6301136110603806807,ECDSA-256,0.00016380599845433608,0.00022885200451128185,0.00014743999781785533,22.415715531999012,1.5277319245825942,2482164.0,71.0,91.0,True
1,3,1351547731160210543,ECDSA-256,0.0001227959946845658,0.0001539430013508536,0.0001437780010746792,22.496078447999025,1.5353007507019532,2482164.0,70.0,91.0,True
1,3,13801579693159999560,ECDSA-256,0.00012108700320823118,0.00014789799752179533,0.00014239900337997824,10.713099112996133,1.517916016494885,2482165.0,72.0,91.0,True
1,4,6301136110603806807,ECDSA-256,0.00018227600230602548,0.0003590680062188767,0.00014203699538484216,21.692369345997577,1.4141430251133709,2482164.0,72.0,91.0,True
1,4,1759560414447879584,ECDSA-256,0.00016024900105549023,0.00031618399953003973,0.0002201349998358637,21.976933981997718,1.3970488087056925,2482164.0,71.0,91.0,True
1,4,1351547731160210543,ECDSA-256,0.00012150399561505765,0.0002564879978308454,0.0001412799974787049,21.911133694004093,1.414475647976604,2482164.0,70.0,91.0,True
1,4,928249063204327094,ECDSA-256,0.00012730000162264332,0.000268431002041325,0.00014002300304127857,21.992576298995118,1.3610068900516619,2482163.0,70.0,91.0,True
1,4,13801579693159999560,ECDSA-256,0.0001222020000568591,0.00014839199866401032,0.00014071199984755367,10.772350235005433,1.3966037937627434,2482165.0,72.0,91.0,True
1,5,1351547731160210543,ECDSA-256,0.0001702920053503476,0.0002587710041552782,0.00015297800564439967,22.84970178399817,1.2946711799588067,2482164.0,71.0,91.0,True
1,5,6301136110603806807,ECDSA-256,0.0001758780053933151,0.00030861300183460116,0.000143220997415483,23.004794492000656,1.298185811827358,2482164.0,72.0,91.0,True
1,5,928249063204327094,ECDSA-256,0.00016405800124630332,0.0002572899975348264,0.00019890000112354755,22.947098823999113,1.2399372357529954,2482163.0,71.0,91.0,True
1,5,1759560414447879584,ECDSA-256,0.00012126700312364846,0.00016115100152092054,0.00014105200534686446,23.026525722998485,1.273458995377294,2482164.0,72.0,91.0,True
1,5,13801579693159999560,ECDSA-256,0.00012274799519218504,0.00014715600264025852,0.0001715219987090677,10.870229822998226,1.2663779319665682,2482165.0,70.0,91.0,True
1,6,6301136110603806807,ECDSA-256,0.0001696499966783449,0.0003201489962521009,0.00013660299737239257,21.71071554700029,1.1818427338767736,2482164.0,71.0,91.0,True
1,6,1351547731160210543,ECDSA-256,0.00015418300608871505,0.00016688100004103035,0.00013645299623021856,21.845645035995403,1.1995574287332285,2482164.0,71.0,91.0,True
1,6,1759560414447879584,ECDSA-256,0.00017643599858274683,0.0003154220030410215,0.00014769700646866113,21.878027482001926,1.1634965534217823,2482164.0,71.0,91.0,True
1,6,928249063204327094,ECDSA-256,0.00015667099796701223,0.0001561009994475171,0.00013524899986805394,21.914136999999755,1.1515868862216083,2482163.0,72.0,91.0,True
1,6,13801579693159999560,ECDSA-256,0.00012301500100875273,0.00014511799963656813,0.00013507899711839855,10.854623560000618,1.1704355560171718,2482165.0,71.0,91.0,True
1,7,1759560414447879584,ECDSA-256,0.00020602199947461486,0.00029396799800451845,0.00014213800022844225,21.68941906299733,1.0691501598198192,2482164.0,70.0,91.0,True
1,7,928249063204327094,ECDSA-256,0.0002002280016313307,0.0002534560044296086,0.0001565589991514571,22.032454806001624,1.0521077397532357,2482163.0,72.0,91.0,True
1,7,6301136110603806807,ECDSA-256,0.00016102800145745277,0.00027791900356533006,0.0001581639953656122,22.294651654003246,1.084899015510425,2482164.0,72.0,91.0,True
1,7,1351547731160210543,ECDSA-256,0.00012553000124171376,0.00016852499538799748,0.0001535199990030378,22.390384182006528,1.1144485026121902,2482164.0,70.0,91.0,True
1,7,13801579693159999560,ECDSA-256,0.00011999699927400798,0.0001486529945395887,0.00014341199857881293,10.608875997000723,1.08195362018701,2482165.0,71.0,91.0,True
1,8,1759560414447879584,ECDSA-256,0.00021524699695874006,0.00023282499751076102,0.00025839699810603634,22.77102921700134,0.9935546990591116,2482164.0,71.0,91.0,True
1,8,928249063204327094,ECDSA-256,0.00033462999999755993,0.00017220600420841947,0.0002536430038162507,22.943576773999666,0.9815574283607471,2482163.0,72.0,91.0,True
1,8,6301136110603806807,ECDSA-256,0.00017794300219975412,0.0002517570028430782,0.0001464749948354438,22.700363864998508,1.026645452926715,2482164.0,71.0,91.0,True
1,8,1351547731160210543,ECDSA-256,0.00016329500067513436,0.00021229100093478337,0.00013859799946658313,22.782506939001905,1.0277538147216407,2482164.0,71.0,91.0,True
1,8,13801579693159999560,ECDSA-256,0.00012051499652443454,0.0001491490038461052,0.00018667599943000823,10.646930875998805,1.0052022908251887,2482165.0,71.0,91.0,True
1,9,928249063204327094,ECDSA-256,0.00016181800310732797,0.00019260299450252205,0.00013699500414077193,21.807662121995236,0.9249548051303949,2482163.0,70.0,91.0,True
1,9,1759560414447879584,ECDSA-256,0.00023065500135999173,0.00022274599905358627,0.0001699720014585182,22.20268087900331,0.9270470957405651,2482164.0,72.0,91.0,True
1,9,6301136110603806807,ECDSA-256,0.00013730600039707497,0.00015543300105491653,0.00013522299559554085,22.06338563800091,0.9510012833645549,2482164.0,71.0,91.0,True
1,9,1351547731160210543,ECDSA-256,0.00012510800297604874,0.000166473000717815,0.0001356389984721318,22.303509133998887,0.9693222597193795,2482164.0,71.0,91.0,True
1,9,13801579693159999560,ECDSA-256,0.00011951600026804954,0.0001464809975004755,0.00013680900156032294,10.697524604001956,0.9342022377271622,2482165.0,70.0,91.0,True
1,10,6301136110603806807,ECDSA-256,0.00016009100363589823,0.0005491120027727447,0.00014109600306255743,22.09904743899824,0.8973007730592173,2482164.0,71.0,91.0,True
1,10,928249063204327094,ECDSA-256,0.00019587099814089015,0.0003053250038647093,0.00013954899623058736,22.174347277003108,0.8536568869607517,2482163.0,70.0,91.0,True
1,10,1351547731160210543,ECDSA-256,0.0002567490009823814,0.00017217599815921858,0.00014569199993275106,22.19860283900198,0.8875622927380827,2482164.0,71.0,91.0,True
1,10,1759560414447879584,ECDSA-256,0.00012181600322946906,0.00015789700410095975,0.00013682499411515892,22.426354030001676,0.8547538726474531,2482164.0,70.0,91.0,True
1,10,13801579693159999560,ECDSA-256,0.00011862900282721967,0.0001453340009902604,0.00014337799802888185,10.646850033997907,0.876631998977722,2482165.0,71.0,91.0,True
1,11,1759560414447879584,ECDSA-256,0.00013125500117894262,0.0003526619984768331,0.00013948199921287596,22.013824792004016,0.7937218136014268,2482164.0,71.0,91.0,True
1,11,1351547731160210543,ECDSA-256,0.00018957800057251006,0.00019463899661786854,0.00014017099601915106,22.016248407002422,0.8484628685651877,2482164.0,72.0,91.0,True
1,11,6301136110603806807,ECDSA-256,0.00015292299940483645,0.00015760600217618048,0.00013921599747845903,22.047089293999306,0.8223559735491633,2482164.0,71.0,91.0,True
1,11,928249063204327094,ECDSA-256,0.00034400299773551524,0.00027701700309989974,0.00014495499635813758,22.013719418995606,0.8090550557683451,2482163.0,71.0,91.0,True
1,11,13801579693159999560,ECDSA-256,0.00011871600145241246,0.00013851700350642204,0.00014186900079948828,10.890348379005445,0.809136379641085,2482165.0,71.0,91.0,True
1,12,6301136110603806807,ECDSA-256,0.0002940459962701425,0.00038687799678882584,0.00014110800111666322,22.00195701499615,0.7508260504887126,2482164.0,70.0,91.0,True
1,12,1759560414447879584,ECDSA-256,0.00014825100515736267,0.00017691899847704917,0.0001435189988114871,22.261365802005457,0.7421225467428993,2482164.0,71.0,91.0,True
1,12,1351547731160210543,ECDSA-256,0.00012119200255256146,0.0002229390011052601,0.0001416550003341399,22.416768483999476,0.7726308454911168,2482164.0,71.0,91.0,True
1,12,928249063204327094,ECDSA-256,0.0001190410039271228,0.00015552099648630247,0.00014408500283025205,22.47000822299742,0.7351785170765349,2482163.0,71.0,91.0,True
1,12,13801579693159999560,ECDSA-256,0.00011710399849107489,0.0001422440036549233,0.00013621999823953956,10.687540444996557,0.742028185687126,2482165.0,70.0,91.0,True
1,13,1759560414447879584,ECDSA-256,0.0001623839998501353,0.0002203760013799183,0.00013697999384021387,22.351244395998947,0.6936702175547902,2482164.0,70.0,91.0,True
1,13,1351547731160210543,ECDSA-256,0.00015266300033545122,0.0001718179992167279,0.0001454820012440905,22.46829467999487,0.7075833496860803,2482164.0,72.0,91.0,True
1,13,928249063204327094,ECDSA-256,0.00015403400175273418,0.00017755100270733237,0.00014410400035558268,22.554991067998344,0.7031568357834039,2482163.0,72.0,91.0,True
1,13,6301136110603806807,ECDSA-256,0.00012226799299241975,0.00019193899788660929,0.00014408699644263834,22.74905467800272,0.7079458824647501,2482164.0,72.0,91.0,True
1,13,13801579693159999560,ECDSA-256,0.0001229370027431287,0.00014516499504679814,0.0001422040004399605,10.724145478998253,0.6877545248300504,2482165.0,72.0,91.0,True
1,14,1759560414447879584,ECDSA-256,0.00016184400010388345,0.00022876699949847534,0.00013799400039715692,21.72755805399356,0.6618460670542031,2482164.0,71.0,91.0,True
1,14,928249063204327094,ECDSA-256,0.0002447279985062778,0.000256578998232726,0.00014601000293623656,21.888364054000704,0.670252809794947,2482163.0,71.0,91.0,True
1,14,1351547731160210543,ECDSA-256,0.00012971199612366036,0.0001763199979905039,0.00015283600077964365,21.93207294500462,0.6604743670826903,2482164.0,71.0,91.0,True
1,14,6301136110603806807,ECDSA-256,0.0001293460009037517,0.00016302400035783648,0.0001430329939466901,22.075932275001833,0.6581009213631146,2482164.0,71.0,91.0,True
1,14,13801579693159999560,ECDSA-256,0.0001184069988084957,0.0001446289970772341,0.0001444610024918802,10.74925342699862,0.6543729702552287,2482165.0,71.0,91.0,True
1,15,1759560414447879584,ECDSA-256,0.0001651580023462884,0.0002484090000507422,0.00016355599655071273,22.451054288001615,0.5905806191098957,2482164.0,71.0,91.0,True
1,15,1351547731160210543,ECDSA-256,0.00012539200542960316,0.00037237099604681134,0.00014255099813453853,22.641838884002937,0.6119842558932571,2482164.0,71.0,91.0,True
1,15,928249063204327094,ECDSA-256,0.00012064100155839697,0.00016604200209258124,0.00015026300388853997,22.785621862996777,0.623730454058312,2482163.0,70.0,91.0,True
1,15,6301136110603806807,ECDSA-256,0.00011886599531862885,0.0001591990003362298,0.00014196999836713076,22.855842633995053,0.6132845681981919,2482164.0,71.0,91.0,True
1,15,13801579693159999560,ECDSA-256,0.00011890599853359163,0.0001465559980715625,0.00014056700456421822,10.686220209005114,0.6174445685368186,2482165.0,70.0,91.0,True
1,16,1351547731160210543,ECDSA-256,0.00029263900069054216,0.0004676969983847812,0.0001722309971228242,21.526167129995883,0.5818032377515547,2482164.0,71.0,91.0,True
1,16,6301136110603806807,ECDSA-256,0.00017571899661561474,0.00028018000011797994,0.00016986000264296308,21.624583232005534,0.5909514109880779,2482164.0,72.0,91.0,True
1,16,1759560414447879584,ECDSA-256,0.00020663400209741667,0.00023319799947785214,0.00015318000077968463,21.5249602019976,0.5618105403626689,2482164.0,72.0,91.0,True
1,16,928249063204327094,ECDSA-256,0.00014554800145560876,0.00015611999697284773,0.00014748299872735515,21.659753391999402,0.5794207184269025,2482163.0,71.0,91.0,True
1,16,13801579693159999560,ECDSA-256,0.00012458600394893438,0.0001608359962119721,0.0001554160044179298,10.912411498000438,0.5659697287189313,2482165.0,70.0,91.0,True
1,17,1351547731160210543,ECDSA-256,0.00015420799900311977,0.00021581399778369814,0.00013690999912796542,21.42500015100086,0.5341574575621099,2482164.0,70.0,91.0,True
1,17,928249063204327094,ECDSA-256,0.00028434799605747685,0.00028467799711506814,0.00016613500338280573,21.795578084995213,0.5345137170173775,2482163.0,70.0,91.0,True
1,17,6301136110603806807,ECDSA-256,0.0002324579982087016,0.00042848700104514137,0.00014143100270302966,21.738213142998575,0.5483530687090878,2482164.0,72.0,91.0,True
1,17,1759560414447879584,ECDSA-256,0.00012169300316600129,0.00015242800145642832,0.00014611399819841608,21.93808896700648,0.5322506467279154,2482164.0,72.0,91.0,True
1,17,13801579693159999560,ECDSA-256,0.00011613200331339613,0.00013879699690733105,0.00014101400302024558,10.755428789998405,0.5244707168695836,2482165.0,70.0,91.0,True
1,18,1759560414447879584,ECDSA-256,0.0001637659952393733,0.00023741000040899962,0.00021764700068160892,22.108939937003015,0.50160107695566,2482164.0,71.0,91.0,True
1,18,6301136110603806807,ECDSA-256,0.00014574699889635667,0.00016522799705853686,0.00013713999942410737,22.279577979999885,0.495518005206086,2482164.0,71.0,91.0,True
1,18,1351547731160210543,ECDSA-256,0.00018000999989453703,0.0002493389984010719,0.00013529200077755377,22.17821700800414,0.5125726185524806,2482164.0,71.0,91.0,True
1,18,928249063204327094,ECDSA-256,0.0001645480006118305,0.0001568020015838556,0.00013751100050285459,22.29856172000291,0.4917491752975665,2482163.0,71.0,91.0,True
1,18,13801579693159999560,ECDSA-256,0.00011780299973906949,0.00014077999367145821,0.00013746500189881772,11.172531443997286,0.49468630069670394,2482165.0,71.0,91.0,True
