scheme,r,p_value,n,run_order_reliable
no_signature,-0.21264056047436714,1.2921964915699325e-07,605,True
ML-DSA-44,0.002050140998466268,0.955300513751852,750,False
ML-DSA-65,-0.022587348263020227,0.5368212115684604,750,True
ML-DSA-87,0.011509926095943365,0.7529917413044676,750,True
Falcon-padded-512,0.004528524062442664,0.901463720687674,750,False
SPHINCS+-SHA2-128s-simple,0.012894283609217388,0.7244257051578793,750,True
RSA-2048,-0.02237507680806041,0.5406560295593138,750,True
ECDSA-256,0.015276227736121513,0.6761786823741622,750,True
