scheme,per_row_mean_pct,aggregate_sum_pct,diff
ML-DSA-44,0.15035265190332253,0.1503526519033147,7.827072323607354e-15
ML-DSA-65,0.21195209677953497,0.2119520967795271,7.882583474838611e-15
ML-DSA-87,0.29083486712905054,0.29083486712903517,1.5376588891058418e-14
Falcon-padded-512,0.0629692396835402,0.06296923968353553,4.676814491233472e-15
SPHINCS+-SHA2-128s-simple,0.3177871494547736,0.31778714945474845,2.5146551507759796e-14
RSA-2048,0.022158082496588682,0.022158082496587735,9.471590178833367e-16
ECDSA-256,0.0065272076059273414,0.006527207605505396,4.2194546467921867e-13
