scheme,run,round,crypto_cost_round,train_cost_round,crypto_fraction
ECDSA-256,1,1,0.0208765260031207,102.11344422598631,0.00020440265181588389
ECDSA-256,1,2,0.0029103150009171996,99.116707243993,2.936164477415423e-05
ECDSA-256,1,3,0.0026407559926147,99.91878529598762,2.642832570504898e-05
ECDSA-256,1,4,0.0028462810005287003,98.34536355599994,2.8940852154259297e-05
ECDSA-256,1,5,0.0026948970262303,102.69835064599465,2.624021023331669e-05
ECDSA-256,1,6,0.0025747069958009,98.203148624998,2.6217484159216035e-05
ECDSA-256,1,7,0.002709118991333,99.01578570200945,2.7359727051298543e-05
ECDSA-256,1,8,0.0030136470013524003,101.84440767100023,2.9589821346019064e-05
ECDSA-256,1,9,0.0023727770021644,99.0747623770003,2.3948784938888557e-05
ECDSA-256,1,10,0.0028895400100728,99.54520161900291,2.9026573753756846e-05
ECDSA-256,1,11,0.0027626089940888,98.9812302910068,2.79096540071862e-05
ECDSA-256,1,12,0.002590722004242,99.83763996899506,2.594867806606096e-05
ECDSA-256,1,13,0.0023339919862331,100.84773030099313,2.314318788585621e-05
ECDSA-256,1,14,0.0024776899881535997,98.37318075499934,2.5186006653659603e-05
ECDSA-256,1,15,0.0024804470012888997,101.4205778780015,2.445644059894633e-05
ECDSA-256,1,16,0.0030413269996636,97.24787545399886,3.127299053141506e-05
ECDSA-256,1,17,0.0028606470004882,97.65230913599953,2.929334931110003e-05
ECDSA-256,1,18,0.0024864879887893,100.03782808900723,2.4854859756319282e-05
ECDSA-256,1,19,0.0025775999965837,99.14370233099908,2.5997949679782956e-05
ECDSA-256,1,20,0.0026322340272592,100.70157632999326,2.6138272320424565e-05
ECDSA-256,1,21,0.0026258879952358,98.3501591029999,2.6698664358881325e-05
ECDSA-256,1,22,0.0026634150053716,100.43633773800684,2.651773688304668e-05
ECDSA-256,1,23,0.0029404130254979998,100.07010300000547,2.9382668151322705e-05
ECDSA-256,1,24,0.0028420069866108002,98.05577154600178,2.898273679012453e-05
ECDSA-256,1,25,0.0025765490208861,99.08133772199655,2.6003706452680526e-05
ECDSA-256,1,26,0.0027944399844265005,98.0842585349892,2.8489386719972984e-05
ECDSA-256,1,27,0.002445366997562,101.41058142000111,2.4112947567358283e-05
ECDSA-256,1,28,0.0028046009974779,98.56875880199368,2.845243496861078e-05
ECDSA-256,1,29,0.0028641560056706997,99.90066206199845,2.86692183359043e-05
ECDSA-256,1,30,0.0024223869768312998,100.03311913698417,2.421526329470689e-05
ECDSA-256,2,1,0.023550472993519297,100.56408110599295,0.0002341289144980641
ECDSA-256,2,2,0.0024766560090931002,97.70203253100772,2.534843099567204e-05
ECDSA-256,2,3,0.0026307060034007,98.06193058699864,2.6826265969217455e-05
ECDSA-256,2,4,0.0029716239878316997,98.03284107899526,3.0311616805123678e-05
ECDSA-256,2,5,0.0025803360040289,97.59515803500108,2.643848153755457e-05
ECDSA-256,2,6,0.0028754330051006995,99.91019798900379,2.8779346952480977e-05
ECDSA-256,2,7,0.0023954780117484,96.30195559500862,2.4874037206606464e-05
ECDSA-256,2,8,0.0023737000010434,99.34720248799567,2.3892401881530998e-05
ECDSA-256,2,9,0.0026487210197949,97.69087323899294,2.7112555332778942e-05
ECDSA-256,2,10,0.0026625160244286,98.13162417000422,2.713135351915348e-05
ECDSA-256,2,11,0.0027936079932251,99.07405612699222,2.819637484132317e-05
ECDSA-256,2,12,0.0025144479877774,98.8913698719989,2.542571772832291e-05
ECDSA-256,2,13,0.0028756090032392,100.33946863299207,2.865798108427787e-05
ECDSA-256,2,14,0.0025099670092451,96.29018625101162,2.606601650827353e-05
ECDSA-256,2,15,0.0030173940031084996,99.73392002999753,3.025352573521468e-05
ECDSA-256,2,16,0.0025106309913090997,97.27210460700007,2.580972420365383e-05
ECDSA-256,2,17,0.0025133670133063,98.15669538000657,2.5605004822154357e-05
