scheme,sig_size_mean,pubkey_size_mean,payload_size_mean,overhead_per_update_bytes,relative_overhead_pct,overhead_per_update_no_pki_bytes,relative_overhead_no_pki_pct
ML-DSA-44,2420.0,1312.0,2482164.4,3732.0,0.15035265190332253,2420.0,0.09749555670043956
ML-DSA-65,3309.0,1952.0,2482164.64,5261.0,0.21195209677953497,3309.0,0.13331106030098486
ML-DSA-87,4627.0,2592.0,2482164.56,7219.0,0.29083486712905054,4627.0,0.1864098808984786
Falcon-padded-512,666.0,897.0,2482164.32,1563.0,0.0629692396835402,666.0,0.026831422667458592
SPHINCS+-SHA2-128s-simple,7856.0,32.0,2482164.56,7888.0,0.3177871494547736,7856.0,0.3164979520939023
RSA-2048,256.0,294.0,2482164.24,550.0,0.022158082496588682,256.0,0.010313580216594002
ECDSA-256,71.016,91.0,2482164.04,162.016,0.0065272076059273414,71.016,0.0028610518429099518
