scheme,run,train_time_mean,train_time_std,n
no_signature,1,24.50014466579996,7.4584321454371265,5.0
no_signature,2,23.206051086913394,6.025803388852753,150.0
no_signature,3,20.21508013314661,4.733089852620924,150.0
no_signature,4,19.97619777034003,4.632910403054702,150.0
no_signature,5,20.08291614836663,4.684365213790595,150.0
ML-DSA-44,1,20.036398855906494,4.615750732337017,150.0
ML-DSA-44,2,19.982920910319905,4.650128275106211,150.0
ML-DSA-44,3,19.91499106707357,4.556829345418071,150.0
ML-DSA-44,4,20.087225057893328,4.653612493392815,150.0
ML-DSA-44,5,20.017601426893258,4.606759963600945,150.0
ML-DSA-65,1,20.079221849326835,4.642159361732171,150.0
ML-DSA-65,2,19.94910126017329,4.58924493628411,150.0
ML-DSA-65,3,19.91897868672667,4.607035414395266,150.0
ML-DSA-65,4,19.78843138895349,4.508973287187651,150.0
ML-DSA-65,5,19.794753104520108,4.562292672739769,150.0
ML-DSA-87,1,19.77021310600008,4.534699246395348,150.0
ML-DSA-87,2,19.893703983306647,4.5706058893037795,150.0
ML-DSA-87,3,20.135752393046715,4.636073586683635,150.0
ML-DSA-87,4,19.829688150666723,4.5485858753370065,150.0
ML-DSA-87,5,19.988021059620248,4.605774561689035,150.0
Falcon-padded-512,1,19.85159732628638,4.5592065519217915,150.0
Falcon-padded-512,2,19.922802379046626,4.574006481285997,150.0
Falcon-padded-512,3,19.94756774980691,4.584859837944031,150.0
Falcon-padded-512,4,19.93686832239352,4.597109343929223,150.0
Falcon-padded-512,5,19.91761160637315,4.572471576172396,150.0
SPHINCS+-SHA2-128s-simple,1,19.822953279666738,4.541483964662611,150.0
SPHINCS+-SHA2-128s-simple,2,19.994833818533614,4.63353887216989,150.0
SPHINCS+-SHA2-128s-simple,3,19.887174184533507,4.587879782703583,150.0
SPHINCS+-SHA2-128s-simple,4,20.168534191133123,4.694674700261884,150.0
SPHINCS+-SHA2-128s-simple,5,19.945495099407175,4.575913485392395,150.0
RSA-2048,1,20.069562511080196,4.650322533332732,150.0
RSA-2048,2,19.847719582219725,4.561559707289522,150.0
RSA-2048,3,19.852095561526756,4.548668167177123,150.0
RSA-2048,4,19.786002742779917,4.515579817350026,150.0
RSA-2048,5,19.740712882860098,4.527043877794043,150.0
ECDSA-256,1,19.920737977072957,4.586826739386479,150.0
ECDSA-256,2,19.75752972984691,4.522841707353066,150.0
ECDSA-256,3,19.874305425926966,4.58927188103152,150.0
ECDSA-256,4,20.016655171286644,4.650458411234476,150.0
ECDSA-256,5,20.038774266393496,4.64231026082731,150.0
