run,round,reference_scheme,scheme,max_abs_diff
2,14,no_signature,ML-DSA-65,0.009760325637678813
2,14,no_signature,ML-DSA-87,0.02629331751658137
2,14,no_signature,RSA-2048,0.013739351861583593
2,14,no_signature,SPHINCS+-SHA2-128s-simple,0.0206913493169002
2,15,no_signature,ECDSA-256,0.014654730288936713
2,15,no_signature,Falcon-padded-512,0.018469896685248677
2,15,no_signature,ML-DSA-44,0.012171409179132175
2,15,no_signature,ML-DSA-65,0.027932623752389807
2,15,no_signature,ML-DSA-87,0.01603354692173453
2,15,no_signature,RSA-2048,0.02103848574450984
2,15,no_signature,SPHINCS+-SHA2-128s-simple,0.02389322411709316
2,16,no_signature,ECDSA-256,0.019079193508567904
2,16,no_signature,Falcon-padded-512,0.007519888992126744
2,16,no_signature,ML-DSA-44,0.01785054095922567
2,16,no_signature,ML-DSA-65,0.0234916331692816
2,16,no_signature,ML-DSA-87,0.016015202045059795
2,16,no_signature,RSA-2048,0.026913331863217427
2,16,no_signature,SPHINCS+-SHA2-128s-simple,0.014779920180955974
2,17,no_signature,ECDSA-256,0.008021379466921386
2,17,no_signature,Falcon-padded-512,0.017553233205319985
2,17,no_signature,ML-DSA-44,0.01304021615761164
2,17,no_signature,ML-DSA-65,0.008957246133980301
2,17,no_signature,ML-DSA-87,0.021241610399640787
2,17,no_signature,RSA-2048,0.01773466251957162
2,17,no_signature,SPHINCS+-SHA2-128s-simple,0.01605526019280512
2,18,no_signature,ECDSA-256,0.012131756772629398
2,18,no_signature,Falcon-padded-512,0.015100100229437752
2,18,no_signature,ML-DSA-44,0.010466980893676703
2,18,no_signature,ML-DSA-65,0.021932074568046966
2,18,no_signature,ML-DSA-87,0.015534799772139174
2,18,no_signature,RSA-2048,0.016071421448319856
2,18,no_signature,SPHINCS+-SHA2-128s-simple,0.008882023614292689
2,19,no_signature,ECDSA-256,0.013333837653453806
2,19,no_signature,Falcon-padded-512,0.00836084509333862
2,19,no_signature,ML-DSA-44,0.023787628799772087
2,19,no_signature,ML-DSA-65,0.02085680788317429
2,19,no_signature,ML-DSA-87,0.008986487639502605
2,19,no_signature,RSA-2048,0.009618195871742174
2,19,no_signature,SPHINCS+-SHA2-128s-simple,0.00995267038575759
2,20,no_signature,ECDSA-256,0.02005757857114082
2,20,no_signature,Falcon-padded-512,0.009369794475718063
2,20,no_signature,ML-DSA-44,0.013976351652568164
2,20,no_signature,ML-DSA-65,0.03258885570263231
2,20,no_signature,ML-DSA-87,0.012052362052777266
2,20,no_signature,RSA-2048,0.013153620364781238
2,20,no_signature,SPHINCS+-SHA2-128s-simple,0.013367965106313828
2,21,no_signature,ECDSA-256,0.010558879806306098
2,21,no_signature,Falcon-padded-512,0.02161819295594669
2,21,no_signature,ML-DSA-44,0.02227799603923819
2,21,no_signature,ML-DSA-65,0.00921930073977656
2,21,no_signature,ML-DSA-87,0.011572756123142902
2,21,no_signature,RSA-2048,0.01844664160519266
2,21,no_signature,SPHINCS+-SHA2-128s-simple,0.013963797498649066
2,22,no_signature,ECDSA-256,0.022032870610539157
2,22,no_signature,Falcon-padded-512,0.011524443422405495
2,22,no_signature,ML-DSA-44,0.008893204665483934
2,22,no_signature,ML-DSA-65,0.01757203936636359
2,22,no_signature,ML-DSA-87,0.01033439433660377
2,22,no_signature,RSA-2048,0.01525194729014806
2,22,no_signature,SPHINCS+-SHA2-128s-simple,0.018629263753232095
2,23,no_signature,ECDSA-256,0.012995821676743624
2,23,no_signature,Falcon-padded-512,0.012550203483730316
2,23,no_signature,ML-DSA-44,0.015297896234681585
2,23,no_signature,ML-DSA-65,0.020122519125953642
2,23,no_signature,ML-DSA-87,0.011503771837122312
2,23,no_signature,RSA-2048,0.02539430786305047
2,23,no_signature,SPHINCS+-SHA2-128s-simple,0.01321878149129524
2,24,no_signature,ECDSA-256,0.02025164939022772
2,24,no_signature,Falcon-padded-512,0.010824051215506725
2,24,no_signature,ML-DSA-44,0.021669551867027625
2,24,no_signature,ML-DSA-65,0.023751464624779117
2,24,no_signature,ML-DSA-87,0.008377237118983027
2,24,no_signature,RSA-2048,0.014052324803373428
2,24,no_signature,SPHINCS+-SHA2-128s-simple,0.009212737825636641
2,25,no_signature,ECDSA-256,0.020812683393613418
2,25,no_signature,Falcon-padded-512,0.015896188150258228
2,25,no_signature,ML-DSA-44,0.02014634886402461
2,25,no_signature,ML-DSA-65,0.02414885765096303
2,25,no_signature,ML-DSA-87,0.007939417593585796
2,25,no_signature,RSA-2048,0.016702018279475206
2,25,no_signature,SPHINCS+-SHA2-128s-simple,0.011876581206965386
2,26,no_signature,ECDSA-256,0.017310144693647278
2,26,no_signature,Falcon-padded-512,0.012083876974725904
2,26,no_signature,ML-DSA-44,0.015531496010935009
2,26,no_signature,ML-DSA-65,0.013724863230170414
2,26,no_signature,ML-DSA-87,0.011547169758203302
2,26,no_signature,RSA-2048,0.01722454956729713
2,26,no_signature,SPHINCS+-SHA2-128s-simple,0.009689247667843015
2,27,no_signature,ECDSA-256,0.024066648266007518
2,27,no_signature,Falcon-padded-512,0.024426869945392393
2,27,no_signature,ML-DSA-44,0.011719636760425867
2,27,no_signature,ML-DSA-65,0.019397386047727283
2,27,no_signature,ML-DSA-87,0.008810905537333047
2,27,no_signature,RSA-2048,0.019419981589981206
2,27,no_signature,SPHINCS+-SHA2-128s-simple,0.015054520683738082
2,28,no_signature,ECDSA-256,0.01755775927458869
2,28,no_signature,Falcon-padded-512,0.008592773075647042
2,28,no_signature,ML-DSA-44,0.017437159963779314
2,28,no_signature,ML-DSA-65,0.024604807438971477
2,28,no_signature,ML-DSA-87,0.01225679765750004
2,28,no_signature,RSA-2048,0.00841887735318353
2,28,no_signature,SPHINCS+-SHA2-128s-simple,0.01165766905868254
2,29,no_signature,ECDSA-256,0.001644198841507627
2,29,no_signature,Falcon-padded-512,0.015997690428345923
2,29,no_signature,ML-DSA-44,0.020884212488814335
2,29,no_signature,ML-DSA-65,0.017283628791415928
2,29,no_signature,ML-DSA-87,0.03170212664858646
2,29,no_signature,RSA-2048,0.011816526456295662
2,29,no_signature,SPHINCS+-SHA2-128s-simple,0.021763407891934594
2,30,no_signature,ECDSA-256,0.026385435870232676
2,30,no_signature,Falcon-padded-512,0.01331936706678749
2,30,no_signature,ML-DSA-44,0.02118892054677529
2,30,no_signature,ML-DSA-65,0.017016687199470415
2,30,no_signature,ML-DSA-87,0.010944456332169783
2,30,no_signature,RSA-2048,0.012376560971658623
2,30,no_signature,SPHINCS+-SHA2-128s-simple,0.009853390320323174
3,1,no_signature,ECDSA-256,0.0
3,1,no_signature,Falcon-padded-512,0.0
3,1,no_signature,ML-DSA-44,0.0
3,1,no_signature,ML-DSA-65,0.0
3,1,no_signature,ML-DSA-87,0.0
3,1,no_signature,RSA-2048,0.0
3,1,no_signature,SPHINCS+-SHA2-128s-simple,0.0
3,2,no_signature,ECDSA-256,0.014677356988096246
3,2,no_signature,Falcon-padded-512,0.010765993937897456
3,2,no_signature,ML-DSA-44,0.015303077027439604
3,2,no_signature,ML-DSA-65,0.017303969151676535
3,2,no_signature,ML-DSA-87,0.01692935719657629
3,2,no_signature,RSA-2048,0.011963403263030914
3,2,no_signature,SPHINCS+-SHA2-128s-simple,0.01653335041131454
3,3,no_signature,ECDSA-256,0.019159932677357494
3,3,no_signature,Falcon-padded-512,0.013330540146690328
3,3,no_signature,ML-DSA-44,0.017926121100831027
3,3,no_signature,ML-DSA-65,0.009619251988566502
3,3,no_signature,ML-DSA-87,0.009312500968908788
3,3,no_signature,RSA-2048,0.014728474921692492
3,3,no_signature,SPHINCS+-SHA2-128s-simple,0.024322146424850866
3,4,no_signature,ECDSA-256,0.01792288683473875
3,4,no_signature,Falcon-padded-512,0.02499823143687885
3,4,no_signature,ML-DSA-44,0.024144013659261
3,4,no_signature,ML-DSA-65,0.019700427215320282
3,4,no_signature,ML-DSA-87,0.013486895507897945
3,4,no_signature,RSA-2048,0.01647966909713272
3,4,no_signature,SPHINCS+-SHA2-128s-simple,0.006704348535202742
3,5,no_signature,ECDSA-256,0.007381587744520912
3,5,no_signature,Falcon-padded-512,0.01449599338415708
3,5,no_signature,ML-DSA-44,0.014458217179051713
3,5,no_signature,ML-DSA-65,0.021391775090092713
3,5,no_signature,ML-DSA-87,0.01705186740278042
3,5,no_signature,RSA-2048,0.014859029088919007
3,5,no_signature,SPHINCS+-SHA2-128s-simple,0.01903332517550793
3,6,no_signature,ECDSA-256,0.02370154000699709
3,6,no_signature,Falcon-padded-512,0.02421764624766265
3,6,no_signature,ML-DSA-44,0.026558713600658423
3,6,no_signature,ML-DSA-65,0.034033130533017486
3,6,no_signature,ML-DSA-87,0.027070821093294173
3,6,no_signature,RSA-2048,0.028977034762263543
3,6,no_signature,SPHINCS+-SHA2-128s-simple,0.026515602113339698
3,7,no_signature,ECDSA-256,0.009404785526446191
3,7,no_signature,Falcon-padded-512,0.0193900424070631
3,7,no_signature,ML-DSA-44,0.016440305275657985
3,7,no_signature,ML-DSA-65,0.025676746242724313
3,7,no_signature,ML-DSA-87,0.01733318723428745
3,7,no_signature,RSA-2048,0.01603869346384057
3,7,no_signature,SPHINCS+-SHA2-128s-simple,0.014679479237181603
3,8,no_signature,ECDSA-256,0.020053876760287803
3,8,no_signature,Falcon-padded-512,0.01990040632101686
3,8,no_signature,ML-DSA-44,0.01709376556423914
3,8,no_signature,ML-DSA-65,0.0205398940811522
3,8,no_signature,ML-DSA-87,0.014152088294775766
3,8,no_signature,RSA-2048,0.02000348169963584
3,8,no_signature,SPHINCS+-SHA2-128s-simple,0.020415503853045247
3,9,no_signature,ECDSA-256,0.010355930025585103
3,9,no_signature,Falcon-padded-512,0.010550660685228475
3,9,no_signature,ML-DSA-44,0.02001263386906149
3,9,no_signature,ML-DSA-65,0.015699606448316694
3,9,no_signature,ML-DSA-87,0.02039496657756945
3,9,no_signature,RSA-2048,0.016453034104630615
3,9,no_signature,SPHINCS+-SHA2-128s-simple,0.012423849048706082
3,10,no_signature,ECDSA-256,0.020525558926046128
3,10,no_signature,Falcon-padded-512,0.008566299661660781
3,10,no_signature,ML-DSA-44,0.016668448670984493
3,10,no_signature,ML-DSA-65,0.01255674831593001
3,10,no_signature,ML-DSA-87,0.007404057410197451
3,10,no_signature,RSA-2048,0.018639410360933528
3,10,no_signature,SPHINCS+-SHA2-128s-simple,0.026162175419993328
3,11,no_signature,ECDSA-256,0.02643228872134662
3,11,no_signature,Falcon-padded-512,0.02486495721264015
3,11,no_signature,ML-DSA-44,0.038911079493955336
3,11,no_signature,ML-DSA-65,0.01307778498425649
3,11,no_signature,ML-DSA-87,0.009641191877496125
3,11,no_signature,RSA-2048,0.01532946298488036
3,11,no_signature,SPHINCS+-SHA2-128s-simple,0.03405924327076437
3,12,no_signature,ECDSA-256,0.012636580501501515
3,12,no_signature,Falcon-padded-512,0.014721625671980876
3,12,no_signature,ML-DSA-44,0.01820631915578441
3,12,no_signature,ML-DSA-65,0.004673285082506307
3,12,no_signature,ML-DSA-87,0.014778997618169476
3,12,no_signature,RSA-2048,0.0186735500876134
3,12,no_signature,SPHINCS+-SHA2-128s-simple,0.017204870645420978
3,13,no_signature,ECDSA-256,0.007091360041699191
3,13,no_signature,Falcon-padded-512,0.03660359800147561
3,13,no_signature,ML-DSA-44,0.014154848104086959
3,13,no_signature,ML-DSA-65,0.026028064683603414
3,13,no_signature,ML-DSA-87,0.006922057785165192
3,13,no_signature,RSA-2048,0.012222864543096734
3,13,no_signature,SPHINCS+-SHA2-128s-simple,0.020756296837291854
3,14,no_signature,ECDSA-256,0.021000043843120153
3,14,no_signature,Falcon-padded-512,0.01173027376302127
3,14,no_signature,ML-DSA-44,0.006300986003571096
3,14,no_signature,ML-DSA-65,0.011320867858374828
3,14,no_signature,ML-DSA-87,0.004736739178054172
3,14,no_signature,RSA-2048,0.01787813829061713
3,14,no_signature,SPHINCS+-SHA2-128s-simple,0.008972302507668672
3,15,no_signature,ECDSA-256,0.021886267934363546
3,15,no_signature,Falcon-padded-512,0.020405997364475348
3,15,no_signature,ML-DSA-44,0.017627709804061142
3,15,no_signature,ML-DSA-65,0.004768502312346379
3,15,no_signature,ML-DSA-87,0.009527588578553958
3,15,no_signature,RSA-2048,0.01384765670274768
3,15,no_signature,SPHINCS+-SHA2-128s-simple,0.018953023484339693
3,16,no_signature,ECDSA-256,0.016764570396548217
3,16,no_signature,Falcon-padded-512,0.012385897969190318
3,16,no_signature,ML-DSA-44,0.004974409806937863
3,16,no_signature,ML-DSA-65,0.009609574196152049
3,16,no_signature,ML-DSA-87,0.011836143888937722
3,16,no_signature,RSA-2048,0.0121168192987815
3,16,no_signature,SPHINCS+-SHA2-128s-simple,0.003926835835170395
3,17,no_signature,ECDSA-256,0.01278517931437917
3,17,no_signature,Falcon-padded-512,0.014666215376779645
3,17,no_signature,ML-DSA-44,0.019414808553533447
3,17,no_signature,ML-DSA-65,0.01620537604981903
3,17,no_signature,ML-DSA-87,0.00738026049975965
3,17,no_signature,RSA-2048,0.019727066992380415
3,17,no_signature,SPHINCS+-SHA2-128s-simple,0.016057678209706994
3,18,no_signature,ECDSA-256,0.005292260918183078
3,18,no_signature,Falcon-padded-512,0.008329538586802299
3,18,no_signature,ML-DSA-44,0.00915694427780639
3,18,no_signature,ML-DSA-65,0.021115488006760108
3,18,no_signature,ML-DSA-87,0.009180718056928994
3,18,no_signature,RSA-2048,0.01938311979412649
